"sex","age","race","juv_fel_count","decile_score","juv_misd_count","juv_other_count","priors_count","days_b_screening_arrest","c_days_from_compas","c_charge_degree","is_recid","r_charge_degree","v_decile_score","v_score_text","score_text","class"
"2",39,"1",0,2,0,0,4,-32,0,"1",0,"3",2,"2","2",0
"2",37,"1",0,3,0,0,12,-74,74,"1",0,"3",2,"2","2",0
"2",25,"1",0,7,0,0,3,-15,16,"1",0,"3",4,"2","3",0
"2",32,"3",0,1,0,0,0,0,1,"2",0,"3",1,"2","2",0
"1",47,"3",0,1,0,0,0,-3,3,"2",0,"3",1,"2","2",0
"2",26,"3",0,4,0,0,0,-1,2,"2",0,"3",4,"2","2",0
"2",51,"3",0,1,0,0,2,-1,2,"1",0,"3",1,"2","2",0
"1",22,"1",0,9,1,0,2,-1,1,"1",0,"3",8,"1","1",0
"1",24,"1",0,3,0,0,0,-1,1,"1",0,"3",3,"2","2",0
"2",41,"3",0,1,0,0,0,-1,1,"1",1,"1",1,"2","2",0
"1",27,"3",0,3,0,0,0,-4,4,"1",0,"3",2,"2","2",0
"2",34,"4",0,2,0,0,0,-1,1,"1",0,"3",3,"2","2",0
"1",22,"3",0,7,0,0,0,-2,2,"1",1,"1",6,"3","3",0
"2",22,"4",0,7,0,0,2,0,1,"1",0,"3",9,"1","3",0
"2",37,"1",0,9,0,0,22,-1,0,"1",1,"2",6,"3","1",0
"2",20,"6",0,6,0,0,1,-1,1,"1",1,"2",6,"3","3",0
"2",29,"1",0,2,0,0,1,-1,419,"2",0,"3",3,"2","2",0
"1",38,"3",0,6,0,0,5,-1,1,"1",1,"2",4,"2","3",0
"2",63,"1",0,9,0,0,11,-1,1,"1",0,"3",3,"2","1",0
"2",24,"3",0,2,0,0,2,0,0,"2",0,"3",3,"2","2",0
"2",30,"1",0,7,0,0,8,-1,1,"1",0,"3",5,"3","3",0
"2",26,"1",0,4,0,0,2,-1,1,"1",0,"3",5,"3","2",0
"2",31,"1",0,8,0,0,9,-1,1,"2",1,"1",8,"1","1",1
"2",36,"1",0,5,0,0,4,0,1,"1",0,"3",3,"2","3",0
"2",28,"1",0,5,0,0,2,-1,1,"1",0,"3",3,"2","3",0
"2",40,"1",0,5,0,0,21,-1,1,"1",0,"3",3,"2","3",0
"1",26,"1",0,8,0,0,4,-1,1,"1",1,"2",4,"2","1",1
"2",35,"3",0,3,0,0,0,-1,1,"1",1,"1",2,"2","2",0
"2",41,"4",0,2,0,0,2,-1,1,"2",0,"3",1,"2","2",0
"2",56,"3",0,2,0,0,1,0,0,"1",0,"3",3,"2","2",0
"2",44,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",29,"3",0,1,0,0,1,-7,8,"2",0,"3",2,"2","2",0
"2",28,"1",0,7,1,0,21,1,0,"1",0,"3",6,"3","3",0
"2",23,"1",0,7,0,0,0,-1,1,"1",0,"3",8,"1","3",0
"1",32,"3",0,8,0,0,0,-1,1,"1",0,"3",4,"2","1",0
"2",34,"1",0,3,0,0,2,-1,1,"1",1,"2",2,"2","2",0
"2",49,"1",0,8,0,0,3,-1,1,"1",1,"2",2,"2","1",0
"2",69,"3",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"2",22,"3",0,9,1,0,2,0,0,"1",1,"2",7,"3","1",1
"2",34,"1",0,4,0,0,13,-1,1,"1",1,"2",1,"2","2",0
"2",45,"3",0,6,0,0,7,0,0,"1",0,"3",1,"2","3",0
"2",29,"6",0,6,0,0,5,-1,1,"1",0,"3",5,"3","3",0
"2",32,"3",0,1,0,0,0,0,0,"2",0,"3",1,"2","2",0
"2",57,"3",0,1,0,0,0,0,1,"1",0,"3",1,"2","2",0
"2",30,"1",0,10,0,0,9,-1,0,"1",1,"1",7,"3","1",1
"2",32,"1",0,8,0,0,12,-1,1,"1",1,"1",6,"3","1",0
"2",32,"3",0,7,0,2,6,0,0,"2",0,"3",4,"2","3",0
"2",26,"6",0,4,0,0,0,-1,1,"2",0,"3",2,"2","2",0
"2",42,"1",0,1,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",33,"1",0,7,0,0,7,0,1,"1",1,"1",9,"1","3",1
"1",53,"3",0,1,0,0,4,-1,1,"1",1,"2",1,"2","2",0
"2",35,"1",0,1,0,0,3,-7,7,"1",0,"3",2,"2","2",0
"2",45,"1",0,7,0,0,8,-1,0,"1",1,"2",4,"2","3",1
"2",45,"1",0,1,0,0,0,-1,1,"2",0,"3",1,"2","2",0
"1",43,"3",0,8,0,0,3,-9,9,"2",0,"3",4,"2","1",0
"2",31,"1",0,4,0,0,7,-1,1,"2",0,"3",2,"2","2",0
"2",23,"6",0,2,0,0,0,-1,1,"1",0,"3",4,"2","2",0
"2",30,"3",0,10,0,0,19,57,69,"1",1,"1",3,"2","1",0
"1",43,"3",0,1,0,0,1,-27,27,"2",0,"3",1,"2","2",0
"1",37,"3",0,8,0,0,2,-1,1,"1",1,"2",2,"2","1",0
"2",22,"1",0,4,0,0,2,-1,1,"1",1,"2",6,"3","2",1
"2",21,"3",0,4,0,0,1,-1,1,"1",0,"3",6,"3","2",0
"2",37,"3",0,1,0,0,2,489,117,"2",1,"2",1,"2","2",0
"1",26,"1",0,2,0,0,0,-1,1,"2",0,"3",2,"2","2",0
"1",28,"3",0,9,0,0,7,606,244,"1",0,"3",6,"3","1",0
"1",37,"3",0,1,0,0,0,0,0,"2",0,"3",1,"2","2",0
"1",42,"1",0,2,0,0,1,-1,1,"1",0,"3",1,"2","2",0
"2",20,"1",0,6,0,0,0,-3,4,"1",0,"3",8,"1","3",0
"1",35,"1",0,1,0,0,3,-23,23,"1",0,"3",1,"2","2",0
"2",21,"1",1,10,0,2,1,-1,1,"1",1,"1",10,"1","1",0
"2",53,"3",0,1,0,0,1,-6,7,"1",0,"3",1,"2","2",0
"2",52,"3",0,9,0,0,16,-4,5,"1",1,"2",4,"2","1",0
"2",22,"1",0,4,0,0,0,0,1,"1",0,"3",4,"2","2",0
"2",33,"4",0,3,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",22,"1",0,10,0,0,1,-1,1,"1",0,"3",7,"3","1",0
"2",33,"3",0,3,0,0,1,-93,93,"2",1,"1",2,"2","2",1
"2",25,"1",0,8,0,3,6,-1,1,"1",0,"3",8,"1","1",0
"2",25,"1",0,9,0,0,10,-82,82,"1",1,"2",7,"3","1",0
"2",31,"1",0,1,0,1,2,-43,44,"1",1,"2",3,"2","2",0
"2",36,"3",1,9,0,0,10,92,95,"2",1,"1",4,"2","1",0
"1",61,"4",0,1,0,0,0,-2,2,"1",0,"3",1,"2","2",0
"2",24,"1",1,6,0,1,1,-230,230,"1",1,"2",7,"3","3",0
"2",21,"1",0,8,0,0,0,-1,1,"1",1,"2",9,"1","1",0
"2",27,"3",0,3,0,0,0,-1,1,"1",0,"3",4,"2","2",0
"2",55,"3",0,1,0,0,9,-1,1,"1",0,"3",1,"2","2",0
"2",28,"1",0,8,0,0,20,0,0,"1",1,"2",3,"2","1",0
"2",47,"2",0,1,0,0,1,0,1,"2",0,"3",1,"2","2",0
"2",23,"1",0,6,0,0,2,-1,1,"1",1,"2",5,"3","3",0
"2",47,"3",0,2,0,0,1,-38,38,"1",0,"3",3,"2","2",0
"1",43,"3",0,1,0,0,0,-2,2,"1",1,"2",1,"2","2",0
"1",21,"1",0,8,3,1,4,-1,463,"2",1,"2",8,"1","1",0
"2",26,"3",0,4,0,0,2,-177,177,"1",0,"3",3,"2","2",0
"2",42,"3",0,4,0,0,0,-1,1,"1",0,"3",1,"2","2",0
"2",20,"1",0,7,0,0,1,0,0,"1",1,"2",6,"3","3",0
"2",37,"3",1,7,6,0,13,-1,1,"1",0,"3",3,"2","3",0
"2",27,"1",0,9,0,2,7,-1,1,"2",1,"2",9,"1","1",1
"1",29,"4",0,3,0,0,2,-57,58,"2",0,"3",2,"2","2",0
"2",25,"1",0,7,0,0,10,-181,138,"1",0,"3",6,"3","3",0
"2",44,"4",0,2,0,0,2,-1,1,"1",0,"3",1,"2","2",0
"2",22,"1",0,3,0,0,2,-1,1,"1",0,"3",5,"3","2",0
"2",26,"6",0,1,0,0,0,-1,1,"1",1,"2",2,"2","2",0
"2",29,"3",0,2,0,0,2,29,57,"2",1,"2",2,"2","2",0
"2",44,"1",2,9,0,0,19,-17,17,"2",1,"2",6,"3","1",1
