priors_count,two_year_recid,gender_factor,age_factor,race_factor,crime_factor,target,Predictions,,,,,,,,,
0,1,1,3,2,1,2,1,,,,,,,,,
5,0,1,1,2,1,2,2,,,,,,,,Protected,Protected Prime
3,0,1,2,2,1,1,1,,,5,2,,0.4,,5,6
1,0,1,2,2,2,1,1,,,167,48,,0.28742515,,,
16,0,1,1,1,2,2,2,,,,,,0.11257485,,,
6,0,1,1,1,1,1,2,,,,,,,,,
4,0,1,1,2,1,2,1,,,,,,,,,
2,0,1,1,2,2,1,1,,,,,,,,,
1,1,1,3,1,1,1,2,,,,,,,,,
4,1,2,1,1,2,2,1,,,,,,,,,
7,1,1,1,1,1,2,2,,,,,,,,,
3,0,1,1,1,1,1,1,,,,,,,,,
1,0,1,3,2,1,2,1,,,,,,,,,
14,1,1,1,2,1,2,2,,,,,,,,,
1,1,1,1,6,2,1,1,,,,,,,,,
2,0,1,1,2,1,1,1,,,,,,,,,
4,1,1,3,1,2,2,2,,,,,,,,,
0,1,1,2,1,2,1,1,,,,,,,,,
5,0,1,1,2,1,2,2,,,,,,,,,
1,0,2,3,2,1,2,1,,,,,,,,,
12,1,1,2,1,1,1,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
2,0,1,1,1,2,1,1,,,,,,,,,
9,1,1,1,2,1,2,2,,,,,,,,,
1,1,1,1,2,2,2,1,,,,,,,,,
10,1,2,1,4,1,1,2,,,,,,,,,
2,0,1,2,2,1,1,1,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,
8,1,1,1,2,2,2,2,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
1,0,2,1,2,2,1,1,,,,,,,,,
5,0,1,1,2,1,1,2,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
0,1,1,3,2,1,2,1,,,,,,,,,
13,0,1,2,1,1,1,2,,,,,,,,,
1,0,1,1,1,1,2,1,,,,,,,,,
0,1,1,2,2,2,2,1,,,,,,,,,
12,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
7,0,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
17,1,1,1,4,1,2,2,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
0,0,1,2,2,1,1,1,,,,,,,,,
1,1,1,1,1,2,1,1,,,,,,,,,
2,1,1,3,1,1,2,2,,,,,,,,,
1,0,1,3,1,2,1,2,,,,,,,,,
2,1,2,1,1,1,2,1,,,,,,,,,
2,0,1,2,1,1,1,1,,,,,,,,,
4,0,1,2,6,1,1,1,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
3,0,1,2,2,1,2,1,,,,,,,,,
5,1,1,1,2,2,2,2,,,,,,,,,
5,1,1,1,2,1,1,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
1,1,1,2,1,1,1,1,,,,,,,,,
1,1,2,1,1,1,2,1,,,,,,,,,
3,1,1,3,2,1,1,1,,,,,,,,,
1,1,1,3,2,2,1,1,,,,,,,,,
13,1,1,1,2,1,2,2,,,,,,,,,
3,0,2,1,2,2,1,1,,,,,,,,,
