race,age_cat,sex,priors_count,c_charge_degree,length_of_stay,score_text,Class
4,3,2,1,1,2,1,Bad
1,2,2,1,1,4,1,Good
1,1,2,3,1,2,1,Good
4,2,2,1,2,2,1,Bad
2,2,2,4,1,3,2,Good
4,2,2,3,1,2,1,Bad
2,2,1,1,2,3,1,Bad
2,2,2,1,1,2,1,Bad
1,1,2,3,2,3,2,Good
2,2,1,1,2,2,1,Bad
1,2,2,1,1,2,1,Bad
2,3,1,2,1,4,1,Good
1,2,2,4,1,3,1,Good
3,2,2,1,2,1,1,Bad
1,2,2,3,1,2,3,Bad
2,2,2,4,1,2,2,Good
2,2,2,4,1,2,1,Good
1,3,2,4,1,2,2,Good
1,1,2,2,1,3,3,Good
2,2,2,1,2,1,1,Good
2,1,1,1,1,2,1,Bad
3,1,2,2,1,2,1,Good
2,2,2,2,2,2,1,Bad
4,2,2,1,2,3,1,Bad
1,2,2,4,1,5,1,Good
1,2,2,4,1,2,2,Good
1,2,2,1,1,5,3,Good
2,2,2,4,1,5,3,Good
1,2,2,3,1,2,3,Good
2,3,2,1,1,3,1,Bad
4,3,2,4,1,3,1,Good
2,2,1,3,2,4,2,Good
2,1,2,2,2,2,1,Good
1,2,2,4,1,5,3,Good
2,2,2,1,2,1,1,Bad
1,1,1,2,1,5,3,Bad
1,3,2,2,2,2,1,Bad
2,2,2,2,2,2,1,Good
1,3,1,4,1,3,1,Bad
1,2,2,1,1,1,2,Good
2,2,2,4,2,3,3,Good
1,2,2,4,1,2,3,Good
2,3,2,1,2,1,1,Bad
1,2,2,1,1,1,1,Bad
2,2,2,2,1,1,1,Good
4,2,1,1,1,2,1,Bad
1,2,2,4,1,5,2,Bad
1,1,2,2,1,3,1,Good
3,2,2,1,2,5,2,Bad
1,3,2,3,2,2,1,Bad
2,3,2,4,1,4,2,Bad
1,2,2,4,1,2,1,Bad
1,2,2,4,1,2,3,Good
2,2,2,3,2,3,1,Good
1,1,2,2,1,2,1,Good
1,2,2,3,1,5,3,Good
3,3,2,1,2,1,1,Bad
1,2,2,4,1,5,2,Good
4,2,2,1,2,2,1,Bad
1,3,1,1,2,3,1,Bad
3,3,2,4,1,5,1,Good
3,1,2,2,1,2,1,Bad
1,2,2,2,2,3,1,Bad
1,2,2,4,1,2,2,Good
2,2,2,2,1,4,2,Good
1,2,2,2,1,3,1,Bad
1,1,2,2,2,5,1,Good
2,1,2,1,1,5,3,Bad
1,2,1,2,1,3,1,Good
1,2,2,1,1,2,1,Bad
1,2,2,2,2,3,1,Bad
1,2,2,4,2,2,3,Good
4,3,2,1,1,2,1,Good
1,2,2,4,1,3,3,Good
4,1,2,1,1,2,2,Good
1,1,2,2,1,5,3,Good
1,2,1,2,2,2,1,Bad
1,2,2,4,1,3,2,Good
2,2,2,4,1,1,3,Good
4,1,2,2,1,3,2,Good
2,2,2,4,1,2,3,Good
2,1,1,1,1,2,2,Bad
2,2,2,2,1,1,1,Good
2,3,1,1,2,1,1,Bad
3,2,1,1,2,2,1,Bad
1,1,2,2,2,4,1,Good
1,2,2,2,1,2,1,Bad
2,2,1,1,1,3,1,Good
2,1,2,4,1,4,2,Good
2,2,2,1,1,3,1,Bad
2,2,2,1,2,5,2,Bad
2,2,1,2,1,5,1,Bad
2,2,2,2,1,2,1,Bad
1,1,2,3,1,3,3,Good
2,2,2,4,2,3,1,Good
2,2,2,1,1,4,2,Bad
1,2,2,4,1,1,2,Good
1,2,2,3,1,2,1,Bad
2,2,2,2,1,2,1,Good
1,2,2,4,1,5,3,Good
1,1,2,1,1,2,1,Good
1,2,2,4,1,3,3,Good
1,2,2,2,2,2,2,Bad
4,2,1,2,1,2,1,Bad
2,2,2,4,1,5,3,Good
1,2,2,3,1,2,3,Good
2,3,2,3,2,2,3,Bad
1,2,2,4,1,2,3,Good
2,2,2,4,1,1,1,Bad
2,2,1,2,1,3,1,Bad
2,2,2,2,2,3,1,Bad
4,2,1,2,2,3,1,Bad
2,2,2,1,2,2,1,Good
1,1,1,1,2,3,1,Bad
2,2,1,4,1,3,1,Good
2,2,2,2,2,1,1,Good
1,2,2,3,1,4,2,Good
2,2,2,2,2,4,1,Good
1,2,2,2,2,2,1,Bad
2,3,2,2,1,2,1,Good
1,1,1,2,1,3,3,Bad
2,2,1,1,2,2,1,Bad
1,2,2,4,1,4,3,Good
1,2,2,4,1,2,2,Good
1,2,2,4,2,2,2,Good
1,2,1,1,1,3,1,Good
1,2,1,4,1,5,3,Good
1,2,2,2,1,2,3,Good
1,1,1,1,1,1,2,Bad
2,2,1,1,2,2,2,Bad
1,3,1,2,1,2,1,Good
4,3,2,4,1,3,2,Good
3,3,2,2,1,4,1,Bad
1,2,1,3,1,3,3,Good
3,2,2,2,1,2,1,Bad
1,2,1,2,2,2,1,Good
2,2,2,2,2,3,1,Bad
2,2,1,3,1,5,2,Good
1,2,2,2,1,5,2,Bad
2,3,2,2,2,2,1,Bad
1,1,2,2,1,2,1,Bad
2,3,2,4,1,5,1,Good
2,2,2,1,1,3,2,Bad
1,2,2,2,2,3,1,Good
3,1,2,1,1,1,1,Bad
1,2,1,4,1,2,2,Bad
3,3,2,2,2,3,1,Bad
1,3,2,4,1,5,1,Bad
3,2,2,4,1,5,3,Good
1,2,2,4,2,2,2,Good
3,3,2,2,1,5,1,Bad
3,3,2,1,1,2,1,Bad
2,3,2,2,2,2,1,Good
2,3,2,1,1,2,1,Bad
4,1,2,1,1,3,1,Bad
1,1,2,2,1,1,2,Good
1,3,2,4,2,2,3,Good
1,1,2,1,2,2,1,Good
3,3,2,2,1,5,1,Bad
1,3,2,3,1,3,1,Bad
2,3,2,4,2,5,1,Good
1,2,2,2,2,1,3,Good
2,2,2,1,1,2,1,Good
1,2,2,4,1,5,3,Good
2,3,2,2,1,5,1,Bad
1,1,2,1,1,2,1,Good
1,2,2,2,2,5,1,Bad
1,1,1,2,2,2,1,Bad
4,2,2,2,2,3,1,Good
2,3,2,2,1,3,1,Bad
2,2,1,1,2,1,1,Bad
2,2,2,3,2,2,1,Bad
1,2,1,4,1,3,3,Good
4,1,2,4,1,2,2,Good
1,2,2,2,1,2,3,Good
1,2,2,1,2,3,1,Bad
1,2,1,1,1,5,3,Bad
2,2,1,4,1,2,3,Good
1,2,2,2,1,2,1,Bad
1,2,1,2,1,5,3,Bad
2,3,2,4,1,2,1,Good
1,2,2,4,1,3,3,Bad
1,2,2,2,2,2,2,Bad
2,3,1,1,2,2,1,Good
2,3,2,1,2,2,1,Bad
4,2,2,2,2,2,1,Good
1,3,2,1,1,2,1,Bad
2,2,2,3,1,3,1,Good
1,2,1,2,1,3,2,Bad
1,2,1,4,2,1,2,Bad
1,2,2,4,1,5,3,Good
1,2,2,1,2,3,1,Bad
4,2,2,3,1,3,1,Good
1,3,2,4,1,5,3,Bad
1,1,2,2,1,5,3,Bad
1,2,2,1,2,2,1,Bad
2,3,2,1,1,2,1,Bad
2,2,2,4,1,5,1,Good
1,3,2,1,1,4,1,Bad
2,2,2,2,1,3,1,Bad
1,2,2,4,2,2,3,Good
2,2,2,2,1,3,2,Bad
1,1,2,1,1,2,1,Bad
1,2,2,3,1,1,1,Bad
3,2,2,3,1,2,1,Bad
2,2,2,1,1,5,3,Good
2,2,2,1,1,5,1,Good
1,2,2,4,1,2,3,Bad
2,3,2,2,2,2,1,Bad
1,2,2,4,1,5,3,Good
2,2,2,4,2,3,2,Good
1,2,2,1,1,1,1,Bad
2,1,2,2,2,3,3,Good
4,2,1,1,2,2,1,Bad
4,2,1,3,1,2,1,Bad
3,2,1,1,2,2,1,Bad
3,1,2,2,1,2,2,Good
2,1,1,4,1,2,2,Good
3,1,2,1,2,2,3,Bad
1,2,2,2,2,2,1,Bad
1,1,2,2,1,2,3,Good
1,2,2,2,1,3,2,Good
4,2,2,1,1,2,1,Bad
1,2,2,3,1,2,1,Bad
1,2,1,2,1,2,1,Bad
1,1,2,1,1,3,3,Bad
3,1,2,1,1,3,2,Bad
1,3,1,1,1,2,1,Bad
1,1,1,1,1,3,1,Good
1,3,1,1,1,3,1,Bad
2,2,2,1,1,1,2,Bad
2,2,2,1,1,3,2,Good
1,2,2,4,1,2,2,Good
1,1,2,3,2,2,3,Good
2,1,1,2,1,2,1,Bad
1,2,1,2,2,2,1,Bad
4,2,1,1,1,2,1,Bad
1,3,2,3,1,5,2,Good
1,2,2,1,1,5,1,Bad
2,2,2,3,1,3,1,Bad
2,3,2,2,2,4,1,Bad
2,3,2,3,1,4,1,Bad
1,1,2,1,2,2,3,Good
1,2,2,2,2,3,3,Good
3,2,2,3,1,3,1,Good
2,2,2,4,2,2,1,Bad
1,2,2,4,2,2,1,Bad
2,1,2,1,1,2,2,Good
1,2,2,4,1,3,1,Good
1,2,2,4,1,3,1,Good
4,1,2,1,1,2,1,Bad
2,3,2,2,1,3,1,Bad
1,1,1,1,2,2,2,Bad
1,1,2,3,2,4,3,Good
2,3,2,1,1,3,1,Bad
2,2,2,4,1,4,1,Bad
4,2,2,2,1,4,1,Good
1,2,1,4,1,1,1,Bad
3,1,2,1,1,5,1,Bad
1,2,2,1,2,2,1,Bad
2,2,2,1,2,2,1,Good
2,2,2,3,2,2,1,Good
2,2,1,1,1,2,1,Bad
4,1,2,4,1,3,3,Good
1,2,2,1,1,5,1,Bad
1,1,2,1,1,2,3,Good
2,3,1,1,2,2,1,Bad
2,3,2,1,2,2,1,Bad
1,2,2,4,1,2,3,Bad
1,1,2,1,1,5,3,Good
2,2,2,4,1,5,2,Bad
1,1,2,2,1,5,3,Good
2,3,2,4,1,5,2,Good
2,2,2,2,2,2,1,Good
3,1,2,3,1,5,2,Bad
1,2,1,1,1,4,2,Bad
2,2,1,2,2,2,1,Good
3,1,1,2,2,1,1,Bad
2,2,2,2,1,2,2,Bad
1,1,1,1,1,2,3,Good
2,2,2,1,2,2,1,Bad
1,1,2,1,1,2,1,Bad
4,2,2,2,1,2,1,Good
1,2,2,1,1,2,1,Bad
2,2,1,1,2,3,2,Bad
3,3,2,2,2,2,1,Bad
1,2,2,4,1,3,3,Good
1,1,2,2,1,2,2,Bad
1,3,2,3,1,1,1,Bad
2,2,2,1,1,5,1,Bad
1,1,2,2,1,2,3,Good
3,2,2,1,2,3,3,Bad
4,2,2,1,2,2,1,Bad
2,1,1,1,1,1,2,Bad
2,3,2,1,2,2,1,Bad
2,1,2,2,1,3,2,Bad
1,2,2,4,2,3,3,Good
2,1,2,1,1,1,1,Bad
1,1,1,1,1,2,2,Good
1,3,2,3,1,3,2,Bad
1,2,2,2,2,5,1,Bad
2,3,1,1,2,2,1,Bad
1,1,2,3,1,1,3,Good
4,1,1,2,1,3,1,Bad
3,2,2,2,1,5,1,Bad
2,2,2,1,1,3,1,Bad
1,1,2,2,1,1,1,Bad
2,1,2,2,2,2,2,Good
1,1,2,3,1,5,3,Good
1,1,2,1,1,4,2,Good
2,2,2,2,2,1,1,Bad
2,3,1,2,2,2,1,Good
2,2,2,1,1,4,2,Good
1,2,2,4,1,5,3,Good
2,3,1,2,2,2,1,Bad
1,1,1,1,1,2,1,Bad
1,2,2,2,1,3,1,Bad
1,2,2,2,2,3,1,Bad
