priors_count,priors_buckets,two_year_recid,gender_factor,age_factor,race_factor,crime_factor,target
0,0,0,1,2,6,1,1
0,0,1,1,1,2,1,1
4,2,1,1,3,2,1,1
0,0,0,1,1,6,2,1
14,3,1,1,1,1,1,2
3,2,0,1,1,6,1,1
0,0,0,2,1,1,2,1
0,0,0,1,1,1,1,1
3,2,1,1,3,2,2,2
0,0,0,2,1,1,2,1
0,0,0,1,1,2,1,1
1,1,1,2,2,1,1,1
7,3,1,1,1,2,1,1
0,0,0,1,1,4,2,1
3,2,0,1,1,2,1,2
6,3,1,1,1,1,1,2
5,3,1,1,1,1,1,1
13,3,1,1,2,2,1,2
1,1,1,1,3,2,1,2
0,0,1,1,1,1,2,1
0,0,0,2,3,1,1,1
1,1,1,1,3,4,1,1
1,1,0,1,1,1,2,1
0,0,0,1,1,6,2,1
8,3,1,1,1,2,1,1
5,3,1,1,1,2,1,2
0,0,1,1,1,2,1,2
9,3,1,1,1,1,1,2
4,2,1,1,1,2,1,2
0,0,0,1,2,1,1,1
7,3,1,1,2,6,1,1
4,2,1,2,1,1,2,2
1,1,1,1,3,1,2,1
21,3,1,1,1,2,1,2
0,0,0,1,1,1,2,1
2,1,0,2,3,2,1,2
2,1,0,1,2,2,2,1
2,1,1,1,1,1,2,1
7,3,0,2,2,2,1,1
0,0,1,1,1,2,1,2
9,3,1,1,1,1,2,2
13,3,1,1,1,2,1,2
0,0,0,1,2,1,2,1
0,0,0,1,1,2,1,1
1,1,1,1,1,1,1,1
0,0,0,2,1,6,1,1
15,3,0,1,1,2,1,2
2,1,1,1,3,2,1,1
0,0,0,1,1,4,2,2
4,2,0,1,2,2,2,1
8,3,0,1,2,1,1,2
5,3,0,1,1,2,1,1
15,3,1,1,1,2,1,2
4,2,1,1,1,1,2,1
1,1,1,1,3,2,1,1
4,2,1,1,1,2,1,2
0,0,0,1,2,4,2,1
6,3,1,1,1,2,1,2
0,0,0,1,1,6,2,1
0,0,0,2,2,2,2,1
6,3,1,1,2,4,1,1
1,1,0,1,3,4,1,1
1,1,0,1,1,2,2,1
5,3,1,1,1,2,1,2
1,1,1,1,1,1,1,2
2,1,0,1,1,2,1,1
1,1,1,1,3,2,2,1
0,0,0,1,3,1,1,2
1,1,1,2,1,2,1,1
0,0,0,1,1,2,1,1
1,1,0,1,1,2,2,1
8,3,1,1,1,2,2,2
0,0,1,1,2,6,1,1
14,3,1,1,1,2,1,2
0,0,1,1,3,6,1,2
2,1,1,1,3,2,1,2
1,1,0,2,1,2,2,1
9,3,1,1,1,2,1,2
7,3,1,1,1,1,1,2
1,1,1,1,3,6,1,2
9,3,1,1,1,1,1,2
0,0,0,2,3,1,1,2
2,1,1,1,1,1,1,1
0,0,0,2,2,1,2,1
0,0,0,2,1,4,2,1
1,1,1,1,3,2,2,1
1,1,0,1,1,2,1,1
0,0,1,2,1,1,1,1
8,3,1,1,3,1,1,2
0,0,0,1,1,1,1,1
0,0,0,1,1,1,2,2
1,1,0,2,1,1,1,1
1,1,0,1,1,1,1,1
3,2,1,1,3,2,1,2
5,3,1,1,1,1,2,1
0,0,0,1,1,1,1,2
5,3,1,1,1,2,1,2
3,2,0,1,1,2,1,1
1,1,1,1,1,1,1,1
10,3,1,1,1,2,1,2
0,0,1,1,3,2,1,1
28,3,1,1,1,2,1,2
1,1,0,1,1,2,2,2
1,1,0,2,1,6,1,1
13,3,1,1,1,1,1,2
3,2,1,1,1,2,1,2
3,2,0,1,2,1,2,2
19,3,1,1,1,2,1,2
6,3,0,1,1,1,1,1
2,1,0,2,1,1,1,1
1,1,0,1,1,1,2,1
2,1,0,2,1,6,2,1
0,0,1,1,1,1,2,1
0,0,0,2,3,2,2,1
10,3,1,2,1,1,1,1
2,1,1,1,1,1,2,1
3,2,1,1,1,2,1,2
2,1,1,1,1,1,2,1
1,1,0,1,1,2,2,1
1,1,1,1,2,1,1,1
1,1,0,2,3,2,1,2
0,0,0,2,1,1,2,1
9,3,1,1,1,2,1,2
11,3,1,1,1,2,1,2
8,3,1,1,1,2,2,2
0,0,1,2,1,2,1,1
7,3,1,2,1,2,1,2
2,1,1,1,1,2,1,2
0,0,0,2,3,2,1,2
0,0,0,2,1,1,2,2
1,1,1,2,2,2,1,1
13,3,1,1,2,6,1,2
1,1,0,1,2,4,1,1
4,2,1,2,1,2,1,2
1,1,0,1,1,4,1,1
2,1,1,2,1,2,2,1
1,1,0,1,1,1,2,1
3,2,1,2,1,1,1,2
1,1,0,1,1,2,1,2
2,1,0,1,2,1,2,1
1,1,0,1,3,2,1,1
6,3,1,1,2,1,1,1
0,0,0,1,1,1,1,2
1,1,1,1,1,2,2,1
0,0,0,1,3,4,1,1
5,3,0,2,1,2,1,2
2,1,0,1,2,4,2,1
8,3,0,1,2,2,1,1
8,3,1,1,1,4,1,2
6,3,1,1,1,2,2,2
2,1,0,1,2,4,1,1
0,0,0,1,2,4,1,1
1,1,1,1,2,1,2,1
0,0,0,1,2,1,1,1
0,0,0,1,3,6,1,1
1,1,1,1,3,2,1,2
23,3,1,1,2,2,2,2
0,0,1,1,3,2,2,1
1,1,0,1,2,4,1,1
3,2,0,1,2,2,1,1
8,3,1,1,2,1,2,1
2,1,1,1,1,2,2,2
0,0,1,1,1,1,1,1
9,3,1,1,1,2,1,2
2,1,0,1,2,1,1,1
0,0,1,1,3,2,1,1
2,1,0,1,1,2,2,1
1,1,0,2,3,2,2,1
2,1,1,1,1,6,2,1
1,1,0,1,2,1,1,1
0,0,0,2,1,1,2,1
4,2,0,1,1,1,2,1
23,3,1,2,1,2,1,2
5,3,1,1,3,6,1,2
2,1,1,1,1,2,1,2
0,0,0,1,1,2,2,1
0,0,0,2,1,2,1,2
7,3,1,2,1,1,1,2
2,1,0,1,1,2,1,1
1,1,0,2,1,2,1,2
7,3,1,1,2,1,1,1
15,3,0,1,1,2,1,2
2,1,0,1,1,2,2,2
0,0,1,2,2,1,2,1
0,0,0,1,2,1,2,1
1,1,1,1,1,6,2,1
0,0,0,1,2,2,1,1
4,2,1,1,1,1,1,1
2,1,0,2,1,2,1,2
5,3,0,2,1,2,2,2
11,3,1,1,1,2,1,2
0,0,0,1,1,2,2,1
4,2,1,1,1,6,1,1
11,3,0,1,2,2,1,2
2,1,0,1,3,2,1,2
0,0,0,1,1,2,2,1
0,0,0,1,2,1,1,1
13,3,1,1,1,1,1,1
0,0,0,1,2,2,1,1
1,1,0,1,1,1,1,1
11,3,1,1,1,2,2,2
1,1,0,1,1,1,1,2
0,0,0,1,3,2,1,1
4,2,0,1,1,2,1,1
4,2,0,1,1,4,1,1
0,0,1,1,1,1,1,2
0,0,1,1,1,1,1,1
14,3,0,1,1,2,1,2
1,1,0,1,2,1,2,1
25,3,1,1,1,2,1,2
8,3,1,1,1,1,2,2
0,0,0,1,1,2,1,1
1,1,1,1,3,1,2,2
0,0,0,2,1,6,2,1
3,2,0,2,1,6,1,1
0,0,0,2,1,4,2,1
1,1,1,1,3,4,1,2
5,3,1,2,3,1,1,2
0,0,0,1,3,4,2,2
1,1,0,1,1,2,2,1
1,1,1,1,3,2,1,2
2,1,1,1,1,2,1,2
0,0,0,1,1,6,1,1
4,2,0,1,1,2,1,1
2,1,0,2,1,2,1,1
0,0,0,1,3,2,1,2
0,0,0,1,3,4,1,2
0,0,0,2,2,2,1,1
0,0,1,2,3,2,1,1
0,0,0,2,2,2,1,1
0,0,0,1,1,1,1,2
0,0,1,1,1,1,1,2
11,3,1,1,1,2,1,2
3,2,1,1,3,2,2,2
1,1,0,2,3,1,1,1
2,1,0,2,1,2,2,1
0,0,0,2,1,6,1,1
3,2,1,1,2,2,1,2
0,0,0,1,1,2,1,1
3,2,0,1,1,1,1,1
1,1,0,1,2,1,2,1
3,2,0,1,2,1,1,1
0,0,1,1,3,2,2,2
1,1,1,1,1,2,2,2
3,2,1,1,1,4,1,1
5,3,0,1,1,1,2,1
5,3,0,1,1,2,2,1
0,0,1,1,3,1,1,2
5,3,1,1,1,2,1,1
6,3,1,1,1,2,1,1
0,0,0,1,3,6,1,1
2,1,0,1,2,1,1,1
0,0,0,2,3,2,2,2
4,2,1,1,3,2,2,2
0,0,0,1,2,1,1,1
5,3,0,1,1,1,1,1
2,1,1,1,1,6,1,1
5,3,0,2,1,2,1,1
0,0,0,1,3,4,1,1
0,0,0,1,1,2,2,1
0,0,1,1,1,1,2,1
3,2,1,1,1,1,2,1
0,0,0,2,1,1,1,1
9,3,1,1,3,6,1,2
0,0,0,1,1,2,1,1
0,0,1,1,3,2,1,2
0,0,0,2,2,1,2,1
0,0,0,1,2,1,2,1
7,3,0,1,1,2,1,2
0,0,1,1,3,2,1,2
8,3,0,1,1,1,1,2
2,1,1,1,3,2,1,2
36,3,1,1,2,1,1,2
2,1,1,1,1,1,2,1
3,2,0,1,3,4,1,2
0,0,0,2,1,2,1,2
2,1,1,2,1,1,2,1
1,1,0,2,3,4,2,1
1,1,0,1,1,1,1,2
0,0,1,2,3,2,1,2
0,0,0,1,1,1,2,1
0,0,0,1,3,2,1,1
1,1,1,1,1,6,1,1
0,0,0,1,1,2,1,1
0,0,0,2,1,1,2,2
1,1,0,1,2,4,2,1
12,3,1,1,1,2,1,2
1,1,0,1,3,2,1,2
3,2,0,1,2,2,1,1
0,0,0,1,1,1,1,1
2,1,1,1,3,2,1,2
0,0,0,1,1,4,2,2
0,0,0,1,1,6,2,1
0,0,0,2,3,1,1,2
0,0,0,1,2,1,2,1
2,1,0,1,3,1,1,2
6,3,1,1,1,2,2,2
0,0,0,1,3,1,1,1
0,0,1,2,3,2,1,2
3,2,0,1,2,2,1,2
2,1,0,1,1,2,2,1
0,0,0,2,2,1,2,1
3,2,1,1,3,2,1,2
1,1,0,2,3,6,1,1
1,1,0,1,1,4,1,1
0,0,0,1,1,1,1,1
1,1,0,1,3,2,1,1
2,1,1,1,3,1,2,2
4,2,1,1,3,2,1,2
0,0,1,1,3,2,1,2
1,1,0,1,1,1,2,1
1,1,1,2,2,1,2,1
0,0,1,1,1,1,1,2
7,3,1,1,1,2,1,2
1,1,0,2,2,1,2,1
0,0,0,2,3,2,1,1
1,1,0,1,1,2,1,1
1,1,0,1,1,2,2,1
6,3,1,1,1,2,1,2
4,2,1,1,3,2,1,2
3,2,0,1,3,1,2,2
23,3,1,1,1,2,1,2
2,1,0,1,1,2,1,2
2,1,0,1,2,2,1,1
7,3,0,1,1,2,1,1
23,3,1,1,2,1,1,2
0,0,0,2,2,1,2,1
12,3,1,1,1,2,1,2
5,3,0,1,1,2,1,2
3,2,0,1,1,1,2,1
0,0,0,2,1,4,1,1
14,3,1,1,1,2,1,2
2,1,0,1,1,2,1,2
0,0,1,1,3,2,2,2
0,0,0,1,1,1,1,1
5,3,0,1,2,2,1,1
9,3,1,1,1,2,1,2
4,2,1,1,2,1,1,1
3,2,0,1,1,2,1,1
4,2,0,1,2,6,1,1
1,1,0,1,3,4,2,1
0,0,0,2,1,1,2,2
0,0,0,1,2,1,2,1
0,0,0,2,3,2,1,2
11,3,0,1,2,2,1,2
0,0,1,1,1,1,2,1
0,0,0,1,3,4,2,1
0,0,0,1,3,1,1,1
2,1,0,2,2,1,2,1
7,3,1,1,1,2,2,1
1,1,1,1,3,1,1,2
8,3,1,1,1,2,1,2
1,1,0,1,1,6,1,1
0,0,1,1,3,2,1,2
0,0,1,1,1,1,2,2
21,3,1,1,2,2,2,2
3,2,0,1,3,2,1,2
1,1,1,1,2,4,2,1
0,0,0,1,1,1,1,1
1,1,1,1,2,2,1,2
3,2,0,1,1,1,2,1
3,2,0,1,1,2,1,1
3,2,1,1,3,1,1,2
0,0,0,1,1,1,1,1
2,1,0,1,1,2,1,2
3,2,1,2,3,2,1,2
1,1,1,1,3,1,1,2
2,1,0,1,1,1,2,1
0,0,0,2,3,1,1,2
0,0,0,1,1,1,2,1
2,1,1,1,1,4,1,2
1,1,1,1,3,2,1,2
1,1,1,1,3,2,2,1
4,2,0,1,2,1,1,1
3,2,0,2,2,2,1,1
1,1,0,1,1,2,2,1
5,3,0,1,1,2,1,1
0,0,0,1,3,1,2,1
2,1,1,2,2,2,1,2
0,0,1,1,1,1,2,1
0,0,1,1,3,6,1,2
13,3,1,1,1,2,2,2
1,1,1,1,1,2,2,2
3,2,1,1,1,2,1,2
6,3,1,1,2,1,1,2
1,1,1,1,1,1,1,1
5,3,1,1,2,2,1,1
10,3,1,1,1,2,1,2
5,3,0,1,1,2,1,2
2,1,0,1,2,1,1,1
0,0,0,1,1,2,1,1
6,3,0,1,3,2,1,2
28,3,1,1,2,2,1,2
8,3,1,1,1,2,1,2
6,3,1,2,3,2,1,2
2,1,0,1,2,2,2,1
12,3,1,1,2,2,2,2
1,1,1,1,3,1,2,2
1,1,0,1,1,2,2,1
1,1,1,1,3,2,1,2
0,0,0,1,2,1,1,1
0,0,0,1,3,4,1,2
3,2,0,1,1,1,1,1
3,2,0,1,2,1,1,1
4,2,1,1,1,1,1,2
0,0,0,1,2,1,1,1
4,2,1,1,1,4,1,1
1,1,1,1,2,1,1,1
0,0,0,1,1,3,1,2
1,1,0,1,2,4,1,1
2,1,0,1,1,4,2,1
6,3,1,2,3,1,1,2
2,1,1,1,3,1,2,2
5,3,1,1,2,3,1,2
1,1,0,1,1,2,1,1
0,0,0,2,1,1,2,1
0,0,1,1,1,1,2,1
0,0,0,1,2,2,2,1
4,2,1,1,1,2,1,1
0,0,0,2,2,1,2,1
0,0,0,1,1,2,1,2
1,1,1,1,1,1,2,1
7,3,1,1,1,4,1,2
20,3,0,1,2,4,1,1
33,3,1,1,2,2,1,2
