,chek_acc,month_duration,credit_history,purpose,Credit_amo,saving_amo,present_employmment,instalrate,p_status,guatan,present_resident,property,age,installment,Housing,existing_cards,job,no_people,telephn,foreign_worker,target
644,1,2,5,5,2,1,4,3,4,1,1,2,2,3,2,2,4,1,2,1,2
389,4,1,3,10,2,1,4,2,2,1,1,3,2,3,2,2,3,1,1,1,2
999,2,4,5,2,4,2,1,2,3,1,3,3,2,3,2,1,3,1,1,1,2
125,1,1,5,1,2,1,3,3,3,1,1,2,2,3,2,2,3,1,1,1,2
792,4,1,5,4,1,5,3,1,4,1,1,2,2,3,2,2,3,1,1,1,2
464,4,2,3,10,2,1,4,3,3,1,1,3,2,2,2,2,3,1,2,1,2
676,4,3,5,4,4,1,5,3,3,1,3,3,2,3,2,1,3,1,2,1,2
606,4,3,5,10,4,1,3,2,3,1,1,1,2,3,2,1,4,1,2,1,2
319,1,2,4,4,3,1,5,1,2,1,3,2,2,3,2,2,2,1,1,1,2
466,1,3,4,5,2,1,2,3,2,1,1,3,2,3,1,1,2,1,2,1,1
997,4,1,3,5,1,1,5,3,3,1,3,3,2,3,2,1,3,1,1,1,2
403,4,2,4,1,1,1,3,3,3,1,1,3,2,3,2,2,2,1,1,1,2
771,1,4,5,8,4,1,3,2,2,1,1,4,1,3,2,2,4,1,2,1,1
275,4,1,3,5,3,1,3,1,3,1,1,1,2,3,2,1,3,2,1,1,2
638,4,1,3,5,2,1,2,3,2,1,2,3,2,3,2,1,3,2,1,1,2
646,1,4,1,4,4,1,3,1,1,3,1,1,2,3,2,2,3,1,1,1,2
778,4,4,5,2,4,4,5,3,3,1,1,3,2,3,2,2,4,1,2,1,2
849,1,1,3,5,1,1,5,3,3,1,3,1,2,2,2,1,2,1,1,1,1
427,4,2,5,5,1,4,3,3,3,1,2,1,2,3,2,2,3,1,1,1,2
343,2,2,3,10,4,1,5,1,3,2,1,1,2,1,2,1,4,1,2,1,2
729,3,3,5,10,1,4,3,1,1,1,3,1,2,3,2,2,3,1,2,1,2
806,2,1,3,5,1,1,2,2,4,1,2,1,2,3,2,1,2,1,1,2,2
696,2,1,3,5,1,1,4,3,3,3,2,1,2,3,2,2,3,1,1,2,2
462,2,1,3,4,3,1,2,2,2,1,1,1,2,3,1,1,4,1,1,1,2
374,2,4,2,3,4,2,5,2,2,1,3,4,2,1,3,2,4,1,2,1,1
135,4,1,5,5,1,5,5,3,2,1,1,1,2,3,2,2,3,1,2,1,2
623,1,1,3,4,2,1,2,3,2,1,1,3,1,3,1,1,3,1,1,1,2
317,2,3,3,4,4,5,3,1,2,1,3,2,2,3,2,1,2,1,2,1,2
247,4,1,1,1,1,2,3,3,3,1,1,4,2,1,1,1,3,1,1,2,2
301,2,4,1,5,3,1,3,3,2,1,1,3,2,3,2,1,3,1,2,1,1
287,2,4,4,3,4,2,1,1,3,1,3,4,2,3,3,1,4,1,2,1,2
356,4,1,5,5,3,5,5,1,3,2,3,1,2,3,2,1,3,1,2,1,2
727,1,2,3,5,2,1,3,3,2,1,3,3,1,1,1,2,3,1,1,1,1
953,4,4,3,4,4,1,1,3,2,1,1,3,2,3,2,2,4,1,2,1,1
578,2,4,5,1,3,1,2,3,1,1,3,3,2,3,2,2,3,1,1,1,1
662,4,3,3,4,2,1,5,3,3,1,1,1,2,3,2,2,3,1,1,1,2
852,4,2,5,5,2,1,3,3,3,1,3,4,2,3,3,2,3,1,2,1,2
612,1,3,3,5,3,4,2,3,2,1,1,3,2,1,2,1,3,1,1,1,2
375,1,4,2,10,4,1,4,1,2,3,3,3,2,3,1,1,3,1,1,1,1
146,1,1,5,1,1,1,5,1,2,1,3,4,2,3,2,2,3,1,2,1,2
514,4,3,3,1,2,5,2,3,3,1,1,2,2,3,2,1,3,1,1,1,2
797,4,1,5,4,1,1,2,1,2,1,3,2,1,3,1,2,2,1,1,1,2
441,1,1,3,4,2,1,3,1,2,2,2,2,2,3,2,1,3,1,1,1,2
913,4,1,3,10,2,4,5,1,1,1,1,1,2,3,2,1,3,1,2,1,2
140,3,1,3,1,1,4,2,1,4,1,1,1,2,3,2,1,1,1,1,2,2
884,2,3,3,4,4,1,4,2,1,1,2,3,2,3,2,1,3,1,2,1,1
615,2,4,1,10,4,5,3,1,3,1,1,3,2,1,2,1,4,1,2,1,2
910,4,4,4,5,4,1,3,3,2,1,3,1,2,3,2,2,3,1,1,1,2
735,2,4,2,6,4,5,2,2,2,1,1,4,2,1,2,1,1,1,1,1,2
494,1,1,5,1,2,1,3,2,3,1,1,1,2,3,1,2,2,2,1,2,2
26,4,1,1,5,1,1,5,3,4,1,3,3,2,3,2,1,2,1,1,1,2
155,1,1,3,4,1,1,3,1,2,1,3,3,1,3,1,1,3,1,1,1,1
872,1,3,5,10,2,2,4,3,3,1,1,1,2,3,2,2,3,1,2,1,2
383,3,1,3,1,1,1,2,3,3,1,1,1,2,3,2,1,3,1,1,1,2
648,3,3,3,1,1,1,4,3,3,1,2,4,2,1,3,1,3,2,1,1,1
671,4,4,3,10,4,2,4,1,3,1,1,3,2,3,2,2,3,1,2,1,2
893,2,4,5,2,4,1,3,2,3,1,3,3,2,3,2,2,3,1,2,1,2
369,2,2,3,4,3,1,4,1,2,1,3,1,2,3,1,1,3,1,1,1,2
873,4,2,3,6,1,5,2,3,2,1,1,1,1,3,2,1,3,1,1,1,2
99,2,3,4,2,4,5,4,2,3,1,3,2,2,1,1,2,4,2,2,1,2
366,4,2,5,2,3,1,4,2,3,1,1,3,2,3,2,2,3,1,1,1,2
810,2,1,3,10,1,1,2,2,4,1,1,1,2,3,2,1,3,1,2,1,2
166,1,2,3,4,1,1,1,3,2,1,1,3,2,3,2,1,3,1,1,1,1
758,4,3,3,1,2,1,3,1,3,3,1,1,2,3,2,1,3,1,2,1,2
23,2,1,5,2,2,2,2,2,3,1,3,2,2,3,2,1,3,1,1,1,2
541,4,3,4,1,2,1,5,3,3,1,3,4,2,3,3,2,3,1,2,1,2
204,4,1,5,1,2,1,5,3,3,1,1,1,2,3,2,2,2,2,1,1,2
33,4,1,5,10,1,5,5,3,3,1,3,4,2,3,1,1,2,1,1,1,2
991,4,2,2,5,2,2,5,3,3,1,3,3,2,1,2,1,2,2,1,1,2
553,2,1,5,1,2,2,2,3,3,1,1,3,2,3,2,1,3,1,1,1,2
357,4,4,4,5,4,1,3,3,3,1,1,3,2,3,2,2,4,1,2,1,1
865,4,2,3,4,2,3,3,1,2,1,3,3,1,3,1,1,3,1,1,1,2
930,1,3,3,4,2,1,2,3,3,2,1,2,1,3,2,1,2,1,1,2,2
513,2,1,4,5,1,1,3,3,4,2,3,1,1,3,1,2,3,1,1,1,2
9,2,4,5,1,4,1,1,3,4,1,1,3,2,3,2,2,4,1,1,1,1
10,2,1,3,1,1,1,2,2,2,1,1,3,1,3,1,1,3,1,1,1,1
79,2,4,3,4,3,1,2,1,4,1,1,2,1,3,2,1,3,1,1,1,2
565,2,3,4,5,2,2,4,2,2,1,1,2,1,3,1,2,3,1,2,1,2
332,2,4,3,1,4,2,2,3,2,1,1,2,1,3,2,1,4,1,1,1,1
118,1,4,5,4,4,3,3,1,2,1,3,3,1,3,2,2,3,1,1,1,1
916,4,1,3,2,3,2,3,1,3,2,1,1,2,3,2,1,3,2,1,1,2
234,4,1,5,5,2,1,4,1,3,1,1,1,2,3,2,3,2,2,1,1,2
711,1,1,2,8,1,1,5,3,2,1,3,4,2,3,3,1,3,1,1,1,1
532,4,1,4,2,2,1,3,3,4,1,3,1,2,3,1,1,3,1,1,1,2
289,1,3,4,5,1,1,2,3,4,1,3,1,2,2,2,1,3,1,1,1,1
216,1,2,1,10,3,1,4,2,3,1,1,2,2,1,2,1,3,1,2,1,2
49,4,1,3,5,2,2,3,3,2,2,1,1,2,3,2,1,3,1,1,1,2
707,2,1,1,4,3,1,2,3,2,1,2,2,1,3,1,2,3,1,1,1,1
556,2,2,1,1,2,2,2,2,2,1,2,3,2,3,2,2,3,1,1,1,1
877,4,4,3,5,3,1,5,3,3,1,1,3,2,3,2,1,3,1,1,1,2
756,3,1,5,1,1,1,3,1,3,1,1,1,2,3,2,3,1,2,1,2,2
596,1,3,3,1,2,1,4,3,2,1,3,3,1,3,1,2,3,1,1,1,1
144,4,3,5,4,2,1,2,3,2,1,3,2,1,3,2,1,3,1,2,1,2
712,4,3,3,2,3,5,5,3,3,1,3,1,2,3,2,1,4,1,2,1,2
860,4,3,5,2,4,4,3,3,3,1,1,1,2,3,2,2,3,1,1,1,2
769,4,1,5,5,2,1,5,1,3,1,3,1,2,3,2,2,2,1,2,1,2
333,4,4,5,2,4,2,3,1,2,1,3,3,1,1,1,2,2,1,1,1,1
112,2,2,3,1,4,1,4,2,3,1,2,1,2,3,1,1,2,1,1,1,2
425,2,2,3,2,3,1,3,1,4,1,2,3,1,3,1,1,3,1,2,1,2
538,1,4,3,1,4,1,5,3,3,1,3,4,2,1,3,1,4,1,1,1,1
818,1,4,3,3,4,1,1,1,1,2,2,3,2,3,2,1,4,1,1,1,2
497,4,3,5,4,2,1,4,3,3,1,2,2,2,3,2,2,3,1,1,1,2
338,1,3,3,4,4,1,3,3,3,1,3,2,2,3,2,1,3,1,1,1,2
576,2,1,3,5,3,1,4,1,2,1,1,1,2,3,2,1,3,1,1,1,2
920,4,2,5,4,2,1,3,3,2,1,1,4,2,3,2,2,3,1,1,1,2
754,4,1,4,7,2,4,5,3,3,1,3,4,2,3,3,2,3,2,1,1,1
581,2,1,5,1,3,1,2,1,3,1,2,1,2,1,2,2,2,2,1,1,2
351,2,1,3,4,1,1,3,1,2,1,1,3,2,3,2,1,3,1,1,2,1
660,3,1,3,5,1,1,3,2,4,1,3,1,1,3,1,1,3,1,1,1,2
666,2,4,2,4,3,4,3,3,3,1,1,3,2,2,2,1,3,2,2,1,2
390,4,2,3,1,2,1,3,1,4,1,1,2,2,3,2,1,4,1,2,1,2
850,1,3,5,1,2,1,3,3,4,3,1,2,2,1,1,2,3,1,1,2,1
605,1,3,2,4,3,3,3,3,3,1,3,1,1,2,2,1,3,1,2,1,2
322,1,3,3,2,3,1,4,1,3,1,1,4,2,3,3,1,4,1,2,1,2
501,1,4,3,2,4,1,5,1,3,1,3,4,2,3,3,1,3,2,1,1,2
418,4,3,3,1,3,3,4,1,2,1,1,3,2,1,2,1,4,1,1,1,2
837,4,1,3,4,1,1,2,1,2,1,2,1,1,3,1,1,2,2,1,1,2
183,4,3,5,4,3,4,3,3,3,1,3,1,2,3,2,1,3,1,2,1,2
367,1,2,3,4,3,1,2,1,2,1,3,3,1,3,1,1,3,1,1,1,2
372,4,1,5,4,2,1,2,1,2,1,2,1,1,3,1,2,3,1,1,1,2
342,2,2,3,5,3,3,2,1,4,1,2,1,1,3,1,1,3,1,1,1,2
306,4,4,3,2,4,5,4,1,2,1,3,2,1,2,1,1,2,1,1,1,2
217,3,4,3,5,3,1,3,1,3,1,1,1,1,3,2,1,3,1,2,1,2
940,4,1,3,1,3,5,2,1,3,1,2,2,2,3,2,1,4,2,2,1,2
37,3,2,3,5,2,1,3,3,3,2,1,1,2,2,2,1,3,1,1,1,1
313,2,1,3,1,1,1,4,1,4,1,2,3,1,1,2,1,2,1,1,1,1
570,1,3,3,4,3,1,2,3,2,1,3,1,1,3,1,1,2,1,2,1,1
188,1,1,3,5,1,2,4,3,4,1,1,2,1,3,2,1,3,1,1,1,1
461,1,2,3,1,2,1,2,1,3,1,2,1,2,3,2,1,3,1,1,1,2
36,4,4,5,8,4,1,3,1,3,1,2,4,2,1,3,1,3,1,2,1,2
680,4,1,3,8,2,1,2,1,2,1,1,4,2,3,2,1,3,1,1,1,2
927,1,4,3,2,4,1,4,3,3,1,3,4,2,2,3,3,3,2,2,1,1
