dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
1,0,1,71.058,0.18416,71.084,0.06431,70.06,0,70.281,5.55E-16
1,0,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0,3,71.856,0.014502,69.88,0.0089758,71.457,0,67.068,-0.04521
1,0.01,1,71.058,0.18416,71.084,0.06431,70.06,0,70.281,5.55E-16
1,0.01,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.01,3,71.856,0.014502,69.88,0.0089758,71.457,0,67.068,-0.04521
1,0.05,1,71.058,0.18416,71.084,0.06431,70.06,0,70.281,5.55E-16
1,0.05,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.05,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.1,1,71.058,0.18416,71.084,0.06431,70.06,0,70.281,5.55E-16
1,0.1,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.1,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.15,1,71.058,0.18416,71.084,0.06431,70.06,0,70.281,5.55E-16
1,0.15,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.15,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.2,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.2,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.2,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.25,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.25,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.25,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.3,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.3,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.3,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.35,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.35,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.35,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.4,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.4,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.4,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.45,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.45,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.45,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.5,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.5,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.5,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.55,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.55,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.55,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.6,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.6,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.6,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.65,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.65,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.65,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.7,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.7,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.7,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.75,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.75,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.75,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.8,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.8,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.8,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.85,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.85,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.85,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,0.9,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,0.9,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,0.9,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
1,75,1,71.058,0.18416,71.084,0.06431,71.058,0.18416,71.084,0.06431
1,75,2,71.257,-0.0019301,70.281,0.016803,71.257,-0.0019301,70.281,0.016803
1,75,3,71.856,0.014502,69.88,0.0089758,71.856,0.014502,69.88,0.0089758
2,0,1,70.06,0.18878,68.675,0.28275,70.06,0,70.281,5.55E-16
2,0,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0,3,72.255,0.012572,70.281,0.06431,72.255,0,70.281,0.06431
2,0.01,1,70.06,0.18878,68.675,0.28275,70.06,0,70.281,5.55E-16
2,0.01,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.01,3,72.255,0.012572,70.281,0.06431,72.255,0,70.281,0.06431
2,0.05,1,70.06,0.18878,68.675,0.28275,70.06,0,70.281,5.55E-16
2,0.05,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.05,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.1,1,70.06,0.18878,68.675,0.28275,70.06,0,70.281,5.55E-16
2,0.1,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.1,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.15,1,70.06,0.18878,68.675,0.28275,70.06,0,70.281,5.55E-16
2,0.15,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.15,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.2,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.2,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.2,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.25,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.25,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.25,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.3,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.3,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.3,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
