dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
1,0.01,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.01,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.01,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.05,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.05,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.05,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.1,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.1,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.1,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.15,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.15,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.15,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.2,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.2,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.2,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.25,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.25,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.25,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.3,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.3,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.3,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.35,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
1,0.35,2,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
1,0.35,3,75.707,-0.030348,75.807,-0.034032,75.707,-0.030348,75.807,-0.034032
