dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
1,0.01,1,65.781,0.13303,65.564,0.14174,57.161,0,57.004,-0.021614
1,0.01,2,67.369,0.17989,68.093,0.18159,57.161,0,57.004,-0.021614
1,0.01,3,67.887,0.18402,68.872,0.16997,55.962,0,56.161,-0.047612
1,0.05,1,65.781,0.13303,65.564,0.14174,57.161,0,57.004,-0.021614
1,0.05,2,67.369,0.17989,68.093,0.18159,57.161,0,57.004,-0.021614
1,0.05,3,67.887,0.18402,68.872,0.16997,62.962,0.049748,63.813,0.082327
1,0.1,1,65.781,0.13303,65.564,0.14174,57.161,0,57.004,-0.021614
1,0.1,2,67.369,0.17989,68.093,0.18159,57.161,0,57.004,-0.021614
1,0.1,3,67.887,0.18402,68.872,0.16997,65.684,0.099348,65.888,0.12965
1,0.15,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.15,2,67.369,0.17989,68.093,0.18159,65.975,0.1227,65.499,0.13769
1,0.15,3,67.887,0.18402,68.872,0.16997,65.878,0.10474,66.083,0.12553
1,0.2,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.2,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.2,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.25,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.25,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.25,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.3,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.3,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.3,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.35,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.35,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.35,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.4,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.4,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.4,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.45,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.45,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.45,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.5,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.5,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.5,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.55,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.55,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.55,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.6,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.6,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.6,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.65,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.65,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.65,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.7,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.7,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.7,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.75,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.75,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.75,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.8,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.8,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.8,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.85,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.85,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.85,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
1,0.9,1,65.781,0.13303,65.564,0.14174,65.781,0.13303,65.564,0.14174
1,0.9,2,67.369,0.17989,68.093,0.18159,67.369,0.17989,68.093,0.18159
1,0.9,3,67.887,0.18402,68.872,0.16997,67.887,0.18402,68.872,0.16997
2,0.01,1,65.911,0.15891,66.991,0.184,54.504,2.22E-16,54.475,-2.22E-16
2,0.01,2,67.434,0.18445,68.677,0.19129,53.662,0,54.15,-0.04891
2,0.01,3,68.568,0.19161,67.056,0.16211,54.958,0,52.789,-0.066907
2,0.05,1,65.911,0.15891,66.991,0.184,54.504,2.22E-16,54.475,-2.22E-16
2,0.05,2,67.434,0.18445,68.677,0.19129,60.985,0.047033,61.738,0.043221
2,0.05,3,68.568,0.19161,67.056,0.16211,61.082,0.036189,58.949,0.02737
2,0.1,1,65.911,0.15891,66.991,0.184,54.504,2.22E-16,54.475,-2.22E-16
2,0.1,2,67.434,0.18445,68.677,0.19129,62.508,0.072579,63.424,0.050514
2,0.1,3,68.568,0.19161,67.056,0.16211,63.545,0.077778,60.96,0.082013
2,0.15,1,65.911,0.15891,66.991,0.184,65.651,0.1426,66.991,0.13689
2,0.15,2,67.434,0.18445,68.677,0.19129,65.651,0.1426,66.991,0.13689
2,0.15,3,68.568,0.19161,67.056,0.16211,65.23,0.11172,63.035,0.081507
2,0.2,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.2,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.2,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
