approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7222,0.671073847,0,7,987.9443011,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,7200,2,-7222,0.671073847,0,29,153.9225113,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,7200,2,-7222,0.671073847,0,39,790.3466973,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7222,0.671073847,0,31,361.168973,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,7200,2,-7222,0.671073847,0,33,557.9112446,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,7200,2,-7222,0.671073847,0,33,188.4171326,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7222,0.671073847,0,37,21.60189867,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,2,-19626,0.671073847,0.005095282,1098,5341.911213,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,2,-19626,0.671073847,0,1711,4571.31794,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19626,0.671073847,2.598593702,1579,7205.839262,0.69345431,0.687172775,1,0.642857143,0,0.444444444,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,9,-19617,0.673976137,3.685578835,1100,7206.282,0.6830849,0.690445026,1,0.642857143,0.145454545,0.444444444,1,1,1
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19490,0.714930668,4.412519241,1912,7205.881098,0.732987686,0.727748691,1,0.642857143,0.25813449,0.444444444,0.277777778,1,1
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19465,0.722992583,1.911122528,2300,7205.863698,0.743357097,0.729057592,1,0.642857143,0.422632794,0.444444444,0.41,1,1
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19465,0.722992583,0,1344,151.8057129,0.745949449,0.727748691,1,0.642857143,0.422632794,0.444444444,0.444444444,1,1
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7185,0.683005482,0,27,169.4764447,0.66882696,0.687827225,2,1,0,0.962962963,0,1,0
