sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.01,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.01,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.01,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.02,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.02,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.02,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.03,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.03,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.03,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.04,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.04,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.04,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.05,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.05,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.05,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.06,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.06,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.06,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.07,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.07,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.07,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.08,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.08,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.08,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.09,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.09,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.09,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.1,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.1,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.1,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.11,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.11,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.11,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.12,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.12,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.12,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.13,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.13,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.13,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.14,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.14,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.14,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.15,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.15,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.15,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.16,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.16,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.16,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.17,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.17,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.17,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.18,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.18,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.18,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.19,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.19,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.19,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.2,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.2,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.2,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.21,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.21,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.21,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.22,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.22,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.22,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.23,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.23,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.23,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.24,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.24,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.24,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.25,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.25,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.25,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.26,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.26,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.26,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.27,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.27,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.27,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.28,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.28,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.28,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.29,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.29,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.29,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.3,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.3,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.3,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.31,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.31,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.31,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.32,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.32,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.32,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.33,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.33,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.33,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.34,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.34,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.34,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.35,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.35,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.35,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.36,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.36,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.36,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.37,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.37,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.37,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.38,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.38,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.38,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.39,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.39,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.39,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.4,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.4,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.4,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.41,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.41,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.41,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.42,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.42,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.42,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.43,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.43,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.43,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.44,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.44,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.44,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.45,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.45,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.45,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.46,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.46,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.46,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.47,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.47,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.47,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.48,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.48,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
1,0.48,3,81.48,-0.02309,81.828,-0.010181,81.48,-0.02309,81.828,-0.010181
1,0.49,1,80.98,-0.020266,81.44,-0.0063688,80.98,-0.020266,81.44,-0.0063688
1,0.49,2,81.1,-0.034658,80.748,-0.022837,81.1,-0.034658,80.748,-0.022837
