sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.01,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.01,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.01,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.05,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.05,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.05,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.1,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.1,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.1,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.15,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.15,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.15,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.2,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.2,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.2,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.25,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.25,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.25,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.3,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.3,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.3,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.35,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.35,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.35,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.4,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.4,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.4,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.45,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.45,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.45,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.5,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.5,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.5,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.55,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.55,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.55,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.6,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.6,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.6,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.65,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.65,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.65,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.7,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.7,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.7,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.75,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.75,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.75,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.8,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.8,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.8,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.85,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.85,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.85,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.9,1,80.978,-0.023808,81.44,-0.0063688,80.978,-0.023808,81.44,-0.0063688
1,0.9,2,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
1,0.9,3,81.578,-0.029908,81.908,-0.010613,81.578,-0.029908,81.908,-0.010613
2,0.01,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.01,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.01,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.05,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.05,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.05,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.1,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.1,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.1,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.15,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.15,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.15,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.2,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.2,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.2,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.25,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.25,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.25,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.3,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.3,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.3,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.35,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.35,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.35,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.4,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
2,0.4,2,82.083,-0.039163,81.548,-0.0053239,82.083,-0.039163,81.548,-0.0053239
2,0.4,3,82.293,-0.044641,81.572,-0.0062038,82.293,-0.044641,81.572,-0.0062038
2,0.45,1,81.633,-0.038681,81.24,-0.0043758,81.633,-0.038681,81.24,-0.0043758
