approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,adult_train_calibration_1.csv,1,None,1,1800,1,2,0,10800,2,1458,0.81,0,8980,1237.847218,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
FlowOCT,adult_train_calibration_1.csv,1,SP,0.01,1800,1,2,0,10800,2,1426,0.792222222,0,18375,4146.160138,0.773687277,0.778888889,0.193187176,-0.009884152,0.200890341,-0.014564938,0.191486496,-0.021990975
FlowOCT,adult_train_calibration_1.csv,1,SP,0.02,1800,1,2,0,10800,2,1426,0.792222222,0,19562,6408.791982,0.773687277,0.778888889,0.193187176,-0.009884152,0.200890341,-0.014564938,0.191486496,-0.021990975
FlowOCT,adult_train_calibration_1.csv,1,SP,0.03,1800,1,2,0,10800,2,1430,0.794444444,0,18413,5605.869454,0.775981356,0.784444444,0.193187176,-0.026890954,0.200890341,-0.039005447,0.191486496,-0.045800498
FlowOCT,adult_train_calibration_1.csv,1,SP,0.04,1800,1,2,0,10800,2,1430,0.794444444,0,22088,9029.130761,0.775981356,0.784444444,0.193187176,-0.026890954,0.200890341,-0.039005447,0.191486496,-0.045800498
FlowOCT,adult_train_calibration_1.csv,1,SP,0.05,1800,1,2,0,10800,2,1431,0.795,0,27574,7762.446501,0.782717938,0.807777778,0.193187176,0.045295346,0.200890341,0.050443228,0.191486496,0.103286859
FlowOCT,adult_train_calibration_1.csv,1,SP,0.06,1800,1,2,0,10800,2,1441,0.800555556,0,24478,10696.3141,0.785995193,0.807777778,0.193187176,0.059001819,0.200890341,0.055682432,0.191486496,0.103286859
FlowOCT,adult_train_calibration_1.csv,1,SP,0.07,1800,1,2,0,10800,2,1450,0.805555556,0,21072,10610.13364,0.787743063,0.813333333,0.193187176,0.069458476,0.200890341,0.072914593,0.191486496,0.112143867
FlowOCT,adult_train_calibration_1.csv,1,SP,0.08,1800,1,2,0,10800,2,1450,0.805555556,0,18471,7394.796268,0.787743063,0.813333333,0.193187176,0.069458476,0.200890341,0.072914593,0.191486496,0.112143867
FlowOCT,adult_train_calibration_1.csv,1,SP,0.09,1800,1,2,0,10800,2,1453,0.807222222,0,13691,5910.588404,0.789053965,0.797777778,0.193187176,0.088435374,0.200890341,0.089581252,0.191486496,0.126692261
FlowOCT,adult_train_calibration_1.csv,1,SP,0.11,1800,1,2,0,10800,2,1458,0.81,0,13737,5605.884954,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
FlowOCT,adult_train_calibration_1.csv,1,SP,0.12,1800,1,2,0,10800,2,1458,0.81,0,17378,5585.951549,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
FlowOCT,adult_train_calibration_1.csv,1,SP,0.13,1800,1,2,0,10800,2,1458,0.81,0,15512,3657.127036,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
FlowOCT,adult_train_calibration_1.csv,1,SP,0.14,1800,1,2,0,10800,2,1458,0.81,0,14948,6678.165552,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
FlowOCT,adult_train_calibration_1.csv,1,SP,0.15,1800,1,2,0,10800,2,1458,0.81,0,16990,7298.733917,0.802854854,0.808888889,0.193187176,0.105357985,0.200890341,0.106284786,0.191486496,0.114231831
