approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_train_calibration_1.csv,1,None,1,3086,1,2,0,10800,2,2054,0.66558652,0,1162,136.426029,0.669909209,0.669689119,0.098347426,0.154368952,0.095327996,0.152903498,0.097800391,0.155140598
FlowOCT,compas_train_calibration_1.csv,1,SP,0.01,3086,1,2,0,10800,2,1846,0.598185353,0,2707,4016.060576,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,-0.016228853
FlowOCT,compas_train_calibration_1.csv,1,SP,0.02,3086,1,2,0,10800,2,1846,0.598185353,0,2849,5892.484074,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,-0.016228853
FlowOCT,compas_train_calibration_1.csv,1,SP,0.03,3086,1,2,0,10800,2,1852,0.600129618,0,3175,3965.91239,0.59922179,0.595854922,0.098347426,0.026357956,0.095327996,0.024014609,0.097800391,0.032142384
FlowOCT,compas_train_calibration_1.csv,1,SP,0.04,3086,1,2,0,10800,2,1897,0.614711601,0,2958,3695.812792,0.609597925,0.615284974,0.098347426,0.037325397,0.095327996,0.047984267,0.097800391,0.057707772
FlowOCT,compas_train_calibration_1.csv,1,SP,0.05,3086,1,2,0,10800,2,1918,0.621516526,0,2905,2718.502572,0.61997406,0.618523316,0.098347426,0.040262111,0.095327996,0.055547127,0.097800391,0.060709868
FlowOCT,compas_train_calibration_1.csv,1,SP,0.06,3086,1,2,0,10800,2,1935,0.627025275,0,2680,2301.611572,0.61997406,0.624352332,0.098347426,0.05654285,0.095327996,0.070965023,0.097800391,0.07119761
FlowOCT,compas_train_calibration_1.csv,1,SP,0.07,3086,1,2,0,10800,2,1969,0.638042774,0,2443,2396.432956,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639
FlowOCT,compas_train_calibration_1.csv,1,SP,0.08,3086,1,2,0,10800,2,1969,0.638042774,0,2016,1475.042893,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639
FlowOCT,compas_train_calibration_1.csv,1,SP,0.09,3086,1,2,0,10800,2,1983,0.642579391,0,1897,1437.020199,0.64461738,0.644430052,0.098347426,0.088905149,0.095327996,0.089922742,0.097800391,0.095955101
