approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,10800,2,1970,0.635278942,0,4724,6264.323736,0.678548283,0.652486911,1,0.194786573,0.251044608,0.175077594,0.248695767,0.186379603,0.253179506,0.285714286,0,0.252747253,0,0.441558442,0,0.213311661,0.195250337,0.203801945,0.226662435,0.182598039,0.258888541,0.226662435,0.195250337,0.258888541
FlowOCT,compas_enc.csv,CSP,0.02,3101,2,0,10800,2,1970,0.635278942,0,8499,8309.479681,0.678548283,0.652486911,1,0.194786573,0.251044608,0.175077594,0.248695767,0.186379603,0.253179506,0.285714286,0,0.252747253,0,0.441558442,0,0.213311661,0.195250337,0.203801945,0.226662435,0.182598039,0.258888541,0.226662435,0.195250337,0.258888541
FlowOCT,compas_enc.csv,CSP,0.03,3101,2,0,10800,2,1970,0.635278942,0,6504,6386.594844,0.678548283,0.652486911,1,0.194786573,0.251044608,0.175077594,0.248695767,0.186379603,0.253179506,0.285714286,0,0.252747253,0,0.441558442,0,0.213311661,0.195250337,0.203801945,0.226662435,0.182598039,0.258888541,0.226662435,0.195250337,0.258888541
FlowOCT,compas_enc.csv,CSP,0.04,3101,2,0,10800,2,1970,0.635278942,0,8073,7771.547031,0.678548283,0.652486911,1,0.194786573,0.251044608,0.175077594,0.248695767,0.186379603,0.253179506,0.285714286,0,0.252747253,0,0.441558442,0,0.213311661,0.195250337,0.203801945,0.226662435,0.182598039,0.258888541,0.226662435,0.195250337,0.258888541
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,10800,2,1983,0.639471138,0,10868,7057.233716,0.672715489,0.65052356,1,0.194786573,0.246414455,0.175077594,0.27030311,0.186379603,0.240582607,0.285714286,0.043453108,0.252747253,0.194235589,0.441558442,0.047206924,0.203050763,0.238952136,0.20803046,0.22644273,0.161764706,0.207903243,0.22644273,0.238952136,0.20803046
FlowOCT,compas_enc.csv,CSP,0.06,3101,2,0,10800,2,1983,0.639471138,0,12654,9627.188789,0.672715489,0.65052356,1,0.194786573,0.246414455,0.175077594,0.27030311,0.186379603,0.240582607,0.285714286,0.043453108,0.252747253,0.194235589,0.441558442,0.047206924,0.203050763,0.238952136,0.20803046,0.22644273,0.161764706,0.207903243,0.22644273,0.238952136,0.20803046
FlowOCT,compas_enc.csv,CSP,0.07,3101,2,0,10800,2,1990,0.641728475,0,11194,8408.195689,0.681140635,0.64986911,1,0.194786573,0.238848108,0.175077594,0.240401506,0.186379603,0.269864341,0.285714286,0.062337662,0.252747253,0.065217391,0.441558442,0.142857143,0.205543052,0.179826172,0.198045637,0.204496631,0.191789216,0.285580231,0.205543052,0.191789216,0.285580231
FlowOCT,compas_enc.csv,CSP,0.08,3101,2,0,10800,2,1990,0.641728475,0,10004,5046.514604,0.681140635,0.64986911,1,0.194786573,0.238848108,0.175077594,0.240401506,0.186379603,0.269864341,0.285714286,0.062337662,0.252747253,0.065217391,0.441558442,0.142857143,0.205543052,0.179826172,0.198045637,0.204496631,0.191789216,0.285580231,0.205543052,0.191789216,0.285580231
FlowOCT,compas_enc.csv,CSP,0.09,3101,2,0,10800,2,1990,0.641728475,0,5792,5392.627939,0.681140635,0.64986911,1,0.194786573,0.238848108,0.175077594,0.240401506,0.186379603,0.269864341,0.285714286,0.062337662,0.252747253,0.065217391,0.441558442,0.142857143,0.205543052,0.179826172,0.198045637,0.204496631,0.191789216,0.285580231,0.205543052,0.191789216,0.285580231
FlowOCT,compas_enc.csv,CSP,0.11,3101,2,0,10800,2,1990,0.641728475,0,12638,7774.979602,0.681140635,0.64986911,1,0.194786573,0.238848108,0.175077594,0.240401506,0.186379603,0.269864341,0.285714286,0.062337662,0.252747253,0.065217391,0.441558442,0.142857143,0.205543052,0.179826172,0.198045637,0.204496631,0.191789216,0.285580231,0.205543052,0.191789216,0.285580231
FlowOCT,compas_enc.csv,CSP,0.12,3101,2,0,10800,2,1996,0.643663334,0,10927,10252.66799,0.690213869,0.64921466,1,0.194786573,0.263281353,0.175077594,0.250227828,0.186379603,0.245609254,0.285714286,0.111044445,0.252747253,0.107692308,0.441558442,0.090909091,0.213345003,0.208103807,0.207311553,0.249392109,0.151960784,0.239391096,0.249392109,0.208103807,0.239391096
FlowOCT,compas_enc.csv,CSP,0.13,3101,2,0,10800,9,1996,0.643663334,48.04609218,6817,10800.39416,0.690213869,0.64921466,1,0.194786573,0.263281353,0.175077594,0.250227828,0.186379603,0.245609254,0.285714286,0.111044445,0.252747253,0.107692308,0.441558442,0.090909091,0.213345003,0.208103807,0.207311553,0.249392109,0.151960784,0.239391096,0.249392109,0.208103807,0.239391096
FlowOCT,compas_enc.csv,CSP,0.14,3101,2,0,10800,9,2015,0.64979039,52.00992556,6156,10800.69949,0.678548283,0.641361257,1,0.194786573,0.216205534,0.175077594,0.215030047,0.186379603,0.238204657,0.285714286,0.134920635,0.252747253,0.236263736,0.441558442,0.289211027,0.155130449,0.149426694,0.190377293,0.224056789,0.176470588,0.259646828,0.224056789,0.176470588,0.259646828
FlowOCT,compas_enc.csv,CSP,0.15,3101,2,0,10800,2,2015,0.64979039,0,10006,8343.399092,0.678548283,0.641361257,1,0.194786573,0.216205534,0.175077594,0.215030047,0.186379603,0.238204657,0.285714286,0.134920635,0.252747253,0.236263736,0.441558442,0.289211027,0.155130449,0.149426694,0.190377293,0.224056789,0.176470588,0.259646828,0.224056789,0.176470588,0.259646828
FlowOCT,compas_enc.csv,CSP,0.16,3101,2,0,10800,2,2015,0.64979039,0,9434,6131.936579,0.678548283,0.641361257,1,0.194786573,0.216205534,0.175077594,0.215030047,0.186379603,0.238204657,0.285714286,0.134920635,0.252747253,0.236263736,0.441558442,0.289211027,0.155130449,0.149426694,0.190377293,0.224056789,0.176470588,0.259646828,0.224056789,0.176470588,0.259646828
FlowOCT,compas_enc.csv,CSP,0.17,3101,2,0,10800,2,2015,0.64979039,0,10655,10251.12125,0.678548283,0.641361257,1,0.194786573,0.216205534,0.175077594,0.215030047,0.186379603,0.238204657,0.285714286,0.134920635,0.252747253,0.236263736,0.441558442,0.289211027,0.155130449,0.149426694,0.190377293,0.224056789,0.176470588,0.259646828,0.224056789,0.176470588,0.259646828
FlowOCT,compas_enc.csv,CSP,0.18,3101,2,0,10800,2,2036,0.656562399,0,10224,5722.520597,0.669475049,0.666230366,1,0.194786573,0.238390379,0.175077594,0.282361487,0.186379603,0.250763036,0.285714286,0.175625877,0.252747253,0.244393064,0.441558442,0.182345692,0.153522961,0.235483739,0.214340869,0.268712169,0.226660262,0.197933961,0.268712169,0.235483739,0.214340869
FlowOCT,compas_enc.csv,CSP,0.19,3101,2,0,10800,2,2046,0.659787165,0,9050,7704.697799,0.684381076,0.652486911,1,0.194786573,0.272294172,0.175077594,0.259710757,0.186379603,0.229802568,0.285714286,0.186550976,0.252747253,0.182692308,0.441558442,0.261029412,0.175293495,0.205981964,0.177836355,0.286610715,0.199142157,0.275831509,0.286610715,0.205981964,0.275831509
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,10800,9,1986,0.640438568,51.81268882,7061,10800.90304,0.674011666,0.65052356,1,0.194786573,0.253303219,0.175077594,0.256223998,0.186379603,0.281764777,0.285714286,0.060606061,0.252747253,0.06314433,0.441558442,0.106060606,0.222347253,0.199942873,0.226593968,0.21582365,0.208946078,0.299812324,0.222347253,0.208946078,0.299812324
FlowOCT,compas_enc.csv,CSP,0.21,3101,2,0,10800,2,2046,0.659787165,0,6157,6078.830992,0.684381076,0.652486911,1,0.194786573,0.272294172,0.175077594,0.259710757,0.186379603,0.229802568,0.285714286,0.186550976,0.252747253,0.182692308,0.441558442,0.261029412,0.175293495,0.205981964,0.177836355,0.286610715,0.199142157,0.275831509,0.286610715,0.205981964,0.275831509
FlowOCT,compas_enc.csv,CSP,0.22,3101,2,0,10800,2,2046,0.659787165,0,11229,7019.634395,0.684381076,0.652486911,1,0.194786573,0.272294172,0.175077594,0.259710757,0.186379603,0.229802568,0.285714286,0.186550976,0.252747253,0.182692308,0.441558442,0.261029412,0.175293495,0.205981964,0.177836355,0.286610715,0.199142157,0.275831509,0.286610715,0.205981964,0.275831509
FlowOCT,compas_enc.csv,CSP,0.23,3101,2,0,10800,2,2046,0.659787165,0,10583,6828.479269,0.684381076,0.652486911,1,0.194786573,0.272294172,0.175077594,0.259710757,0.186379603,0.229802568,0.285714286,0.186550976,0.252747253,0.182692308,0.441558442,0.261029412,0.175293495,0.205981964,0.177836355,0.286610715,0.199142157,0.275831509,0.286610715,0.205981964,0.275831509
FlowOCT,compas_enc.csv,CSP,0.24,3101,2,0,10800,2,2072,0.668171558,0,10581,8361.432905,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.25,3101,2,0,10800,2,2072,0.668171558,0,7746,5648.880477,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.26,3101,2,0,10800,2,2072,0.668171558,0,9043,6200.497381,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.27,3101,2,0,10800,2,2072,0.668171558,0,9301,5317.411618,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.28,3101,2,0,10800,2,2072,0.668171558,0,10780,5142.062945,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.29,3101,2,0,10800,2,2072,0.668171558,0,7796,6073.817788,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,10800,2,2046,0.659787165,0,9440,7215.510067,0.684381076,0.652486911,1,0.194786573,0.272294172,0.175077594,0.259710757,0.186379603,0.229802568,0.285714286,0.186550976,0.252747253,0.182692308,0.441558442,0.261029412,0.175293495,0.205981964,0.177836355,0.286610715,0.199142157,0.275831509,0.286610715,0.205981964,0.275831509
FlowOCT,compas_enc.csv,CSP,0.31,3101,2,0,10800,2,2072,0.668171558,0,5037,2775.706851,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.32,3101,2,0,10800,2,2072,0.668171558,0,9233,5779.582067,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.33,3101,2,0,10800,2,2072,0.668171558,0,5678,3470.793318,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.34,3101,2,0,10800,2,2072,0.668171558,0,11772,6136.995446,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.35,3101,2,0,10800,2,2072,0.668171558,0,6769,4200.89788,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.36,3101,2,0,10800,2,2072,0.668171558,0,10935,5259.778769,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.37,3101,2,0,10800,2,2072,0.668171558,0,5112,3700.000703,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.38,3101,2,0,10800,2,2072,0.668171558,0,5809,7209.913254,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.39,3101,2,0,10800,2,2072,0.668171558,0,12453,6789.697868,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,10800,2,2072,0.668171558,0,7834,4686.495343,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.41,3101,2,0,10800,2,2072,0.668171558,0,7728,9388.998118,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.42,3101,2,0,10800,2,2072,0.668171558,0,11446,6939.963352,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.43,3101,2,0,10800,2,2072,0.668171558,0,10310,5532.054477,0.692806222,0.661649215,1,0.194786573,0.286897053,0.175077594,0.277210592,0.186379603,0.301470588,0.285714286,0.236464449,0.252747253,0.246415295,0.441558442,0.486677116,0.191529838,0.209899212,0.204391394,0.294277983,0.289542484,0.349520384,0.294277983,0.289542484,0.349520384
FlowOCT,compas_enc.csv,CSP,0.44,3101,2,0,10800,2,2073,0.668494034,0,11603,10513.74697,0.69669475,0.657068063,1,0.194786573,0.360730805,0.175077594,0.358277752,0.186379603,0.327971814,0.285714286,0.439008631,0.252747253,0.362142857,0.441558442,0.486677116,0.258469145,0.276288407,0.246387258,0.380402385,0.335171569,0.36881404,0.380402385,0.335171569,0.36881404
FlowOCT,compas_enc.csv,CSP,0.45,3101,2,0,10800,2,2073,0.668494034,0,6592,5129.5958,0.69669475,0.657068063,1,0.194786573,0.360730805,0.175077594,0.358277752,0.186379603,0.327971814,0.285714286,0.439008631,0.252747253,0.362142857,0.441558442,0.486677116,0.258469145,0.276288407,0.246387258,0.380402385,0.335171569,0.36881404,0.380402385,0.335171569,0.36881404
FlowOCT,compas_enc.csv,CSP,0.46,3101,2,0,10800,2,2073,0.668494034,0,8080,6775.023821,0.69669475,0.657068063,1,0.194786573,0.360730805,0.175077594,0.358277752,0.186379603,0.327971814,0.285714286,0.439008631,0.252747253,0.362142857,0.441558442,0.486677116,0.258469145,0.276288407,0.246387258,0.380402385,0.335171569,0.36881404,0.380402385,0.335171569,0.36881404
FlowOCT,compas_enc.csv,CSP,0.47,3101,2,0,10800,2,2073,0.668494034,0,8968,6757.5742,0.69669475,0.657068063,1,0.194786573,0.360730805,0.175077594,0.358277752,0.186379603,0.327971814,0.285714286,0.439008631,0.252747253,0.362142857,0.441558442,0.486677116,0.258469145,0.276288407,0.246387258,0.380402385,0.335171569,0.36881404,0.380402385,0.335171569,0.36881404
FlowOCT,compas_enc.csv,CSP,0.48,3101,2,0,10800,2,2073,0.668494034,0,10131,9778.58893,0.69669475,0.657068063,1,0.194786573,0.360730805,0.175077594,0.358277752,0.186379603,0.327971814,0.285714286,0.439008631,0.252747253,0.362142857,0.441558442,0.486677116,0.258469145,0.276288407,0.246387258,0.380402385,0.335171569,0.36881404,0.380402385,0.335171569,0.36881404
