approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19465,0.722992583,0.005137426,1616,161.0526903,0.745949449,0.727748691,1,0.4125,0.448514152,0.407234962,0.513159287,0.8,0.63172043
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19966,0.561431796,4.943403786,1,604.4193649,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19953,0.565623992,5.187189896,1,604.309438,0.576150356,0.564790576,1,0.4125,0.017964072,0.407234962,0.048192771,0.8,0.021505376
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19985,0.55530474,5.714202836,1,605.1956482,0.556059624,0.55039267,1,0.4125,0,0.407234962,0,0.8,0
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19836,0.603353757,5.752167776,1,604.061955,0.622164614,0.604712042,1,0.4125,0.2,0.407234962,0.2,0.8,0.313978495
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19633,0.668816511,5.15968013,70,604.087008,0.692158134,0.679319372,1,0.4125,0.252795031,0.407234962,0.277289837,0.8,0.196866599
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19442,0.730409545,0,1616,161.7972653,0.725858717,0.72447644,2,0.688888889,0.452140078,0.403949618,0.462931061,0.526595745,0.437491017
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19995,0.552079974,4.756189047,39,604.0840991,0.545690214,0.567408377,2,0.688888889,0,0.403949618,0,0.526595745,0
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19995,0.552079974,5.061265316,1,604.0329492,0.545690214,0.567408377,2,0.688888889,0,0.403949618,0,0.526595745,0
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19814,0.610448243,4.582618351,14,604.1438558,0.587167855,0.62565445,2,0.688888889,0.088888889,0.403949618,0.2,0.526595745,0.180232558
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19995,0.552079974,6.216554139,1,604.0928822,0.545690214,0.567408377,2,0.688888889,0,0.403949618,0,0.526595745,0
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19923,0.575298291,6.439793204,25,604.1292551,0.585871679,0.590314136,2,0.688888889,0.2,0.403949618,0.202531646,0.526595745,0.180851064
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19474,0.720090293,0,1348,134.5632713,0.731043422,0.740183246,3,0.8,0.537112011,0.8125,0.413575496,0.438650612,0.424811527
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-20002,0.549822638,5.089491051,1,604.101311,0.585871679,0.553010471,3,0.8,0.006246096,0.8125,0.004993758,0.438650612,0.012936611
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19980,0.556917124,5.285285285,5,604.1042922,0.599481529,0.558900524,3,0.8,0.034682081,0.8125,0.024968789,0.438650612,0.025862069
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-20019,0.544340535,5.83945252,1,607.330354,0.582631238,0.545811518,3,0.8,0,0.8125,0,0.438650612,0
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19855,0.597226701,5.817174515,1,604.124249,0.631237848,0.607984293,3,0.8,0.2,0.8125,0.5,0.438650612,0.113152221
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19627,0.670751371,5.11030723,10,604.1172161,0.688917693,0.692408377,3,0.8,0.21194605,0.8125,0.5,0.438650612,0.244444444
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19453,0.726862302,0,1208,124.8937831,0.71095269,0.72578534,4,0.56043956,0.309151949,0.765306122,0.816326531,0.350114943,0.357142857
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19944,0.568526282,4.758323305,2,604.0577903,0.535320804,0.544502618,4,0.56043956,0,0.765306122,0,0.350114943,0
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19944,0.568526282,5.059165664,1,604.9072881,0.535320804,0.544502618,4,0.56043956,0,0.765306122,0,0.350114943,0
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19796,0.616252822,4.73327945,1,604.1733482,0.595593001,0.605366492,4,0.56043956,0.084063924,0.765306122,0.181818182,0.350114943,0.5
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19631,0.669461464,4.701747237,1,604.230701,0.659753727,0.658376963,4,0.56043956,0.193488339,0.765306122,0.304785894,0.350114943,0.5
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19579,0.686230248,4.882782573,63,604.209831,0.672067401,0.678010471,4,0.56043956,0.20992562,0.765306122,0.37755102,0.350114943,0.5
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19491,0.714608191,0.005130573,1692,153.8433869,0.750486066,0.737565445,5,0.648809524,0.375,0.583030303,0.583030303,0.65,0.233862782
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19984,0.555627217,4.918935148,6,604.0575669,0.55411536,0.573298429,5,0.648809524,0.006373486,0.583030303,0.006060606,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19984,0.555627217,5.224179343,34,605.055927,0.55411536,0.573298429,5,0.648809524,0.006373486,0.583030303,0.006060606,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-20000,0.550467591,5.68,20,604.0925963,0.550226831,0.566099476,5,0.648809524,0,0.583030303,0,0.65,0
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-20000,0.550467591,6.445,1,604.3021541,0.550226831,0.566099476,5,0.648809524,0,0.583030303,0,0.65,0
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19668,0.657529829,5.308114704,86,604.2700801,0.671419313,0.663612565,5,0.648809524,0.255952381,0.583030303,0.237575758,0.65,0.25
