approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,10800,2,1691,0.545307965,0,1,47.38602853,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,10800,2,1691,0.545307965,0,0,35.4125669,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.15,3101,1,0,10800,2,1691,0.545307965,0,1,74.10427022,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,10800,2,1691,0.545307965,0,1,72.99557734,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.25,3101,1,0,10800,2,1691,0.545307965,0,1,72.10368013,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,10800,2,1691,0.545307965,0,1,77.31709456,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.35,3101,1,0,10800,2,1691,0.545307965,0,1,61.25384903,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,10800,2,1691,0.545307965,0,1,64.56190944,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.45,3101,1,0,10800,2,1801,0.580780393,0,1,82.94349933,0.553467272,0.568717277,1,0.331754658,0.3125,0.211919699,0.26348808,0.393410853,0.5,1,0.422632794,0.714285714,0.444444444,1,1,0.307692308,0.251928021,0.204819277,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0.666666667
FlowOCT,compas_enc.csv,CSP,0.4,3101,1,0,10800,2,1691,0.545307965,0,1,97.07065058,0.556707712,0.532068063,1,0.331754658,0,0.211919699,0,0.393410853,0,1,0,0.714285714,0,1,0,0,0,0,0,0,0,0,0,0
