approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,german_enc.csv,CSP,0.01,502,1,0,10800,2,348,0.693227092,0,1,6.686335802,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.05,502,1,0,10800,2,348,0.693227092,0,1,4.488785028,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.15,502,1,0,10800,2,348,0.693227092,0,1,4.479267597,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.1,502,1,0,10800,2,348,0.693227092,0,1,4.263254881,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.25,502,1,0,10800,2,348,0.693227092,0,1,3.910656691,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.2,502,1,0,10800,2,348,0.693227092,0,1,4.517312288,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.35,502,1,0,10800,2,348,0.693227092,0,1,4.147950411,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.3,502,1,0,10800,2,348,0.693227092,0,1,4.396318436,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.45,502,1,0,10800,2,348,0.693227092,0,1,3.345006943,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.4,502,1,0,10800,2,348,0.693227092,0,1,4.65685153,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.55,502,1,0,10800,2,348,0.693227092,0,81,14.58386397,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.5,502,1,0,10800,2,348,0.693227092,0,80,19.15671253,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,CSP,0.6,502,1,0,10800,2,348,0.693227092,0,75,15.31815386,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,EOdds,0.01,502,1,0,10800,2,345,0.687250996,0,143,38.22000718,0.696,0.72983871,1,0.165711308,0,0.1875,0,0.175,0,0.8,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FlowOCT,german_enc.csv,EOdds,0.05,502,1,0,10800,2,345,0.687250996,0,150,29.12198257,0.696,0.72983871,1,0.165711308,0,0.1875,0,0.175,0,0.8,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FlowOCT,german_enc.csv,EOdds,0.15,502,1,0,10800,2,348,0.693227092,0,137,22.88272786,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,EOdds,0.1,502,1,0,10800,2,348,0.693227092,0,134,43.8928926,0.712,0.72983871,1,0.165711308,0.052132701,0.1875,0.052083333,0.175,0.085714286,0.8,0,1,1,1,1,0.1,0.274509804,0.210526316,0.038961039,0.038461538,0.071428571,0.1,0.274509804,0.210526316
FlowOCT,german_enc.csv,EOdds,0.25,502,1,0,10800,2,358,0.71314741,0,107,21.64775753,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.2,502,1,0,10800,2,358,0.71314741,0,105,19.74185467,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.35,502,1,0,10800,2,358,0.71314741,0,109,16.5161047,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.3,502,1,0,10800,2,358,0.71314741,0,107,21.64266729,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.45,502,1,0,10800,2,358,0.71314741,0,108,28.59025741,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.4,502,1,0,10800,2,358,0.71314741,0,108,21.09762192,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.55,502,1,0,10800,2,358,0.71314741,0,109,24.20008421,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.5,502,1,0,10800,2,358,0.71314741,0,110,18.77353144,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOdds,0.6,502,1,0,10800,2,358,0.71314741,0,109,19.78751588,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOpp,0.01,502,1,0,10800,2,345,0.687250996,0,138,28.95986652,0.696,0.72983871,1,0.165711308,0,0.1875,0,0.175,0,0.8,1,1,1,1,1,0,0,0,0,0,0,0,0,0
FlowOCT,german_enc.csv,EOpp,0.05,502,1,0,10800,2,358,0.71314741,0,119,23.04776049,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
FlowOCT,german_enc.csv,EOpp,0.15,502,1,0,10800,2,358,0.71314741,0,111,26.76813912,0.708,0.705645161,1,0.165711308,0.028934896,0.1875,0.055555556,0.175,0.097826087,0.8,1,1,0,1,1,0.2,0.2,0.142857143,0.02,0.028169014,0.095890411,0.2,0.2,0.142857143
