approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.01,3086,1,2,0,10800,2,2008,0.650680493,0,9007,9775.651531,0.649384316,0.650680493,0.165486417,0.232536417,0.167845912,0.241627358,0.170423497,0.231930971,0.11820331,0,0.119622642,0,0.121232227,0,0.190650701,0.194470353,0.189270129,0.204973084,0.212951807,0.205963584,0.204973084,0.212951807,0.205963584
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.02,3086,1,2,0,10800,2,2008,0.650680493,0,4874,4244.591982,0.649384316,0.650680493,0.165486417,0.232536417,0.167845912,0.241627358,0.170423497,0.231930971,0.11820331,0,0.119622642,0,0.121232227,0,0.190650701,0.194470353,0.189270129,0.204973084,0.212951807,0.205963584,0.204973084,0.212951807,0.205963584
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.03,3086,1,2,0,10800,9,2008,0.650680493,48.80478088,4894,10800.47811,0.649384316,0.650680493,0.165486417,0.232536417,0.167845912,0.241627358,0.170423497,0.231930971,0.11820331,0,0.119622642,0,0.121232227,0,0.190650701,0.194470353,0.189270129,0.204973084,0.212951807,0.205963584,0.204973084,0.212951807,0.205963584
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.04,3086,1,2,0,10800,9,2008,0.650680493,49.65139442,3874,10800.61662,0.649384316,0.650680493,0.165486417,0.232536417,0.167845912,0.241627358,0.170423497,0.231930971,0.11820331,0,0.119622642,0,0.121232227,0,0.190650701,0.194470353,0.189270129,0.204973084,0.212951807,0.205963584,0.204973084,0.212951807,0.205963584
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.05,3086,1,2,0,10800,2,2008,0.650680493,0,5584,5487.631934,0.649384316,0.650680493,0.165486417,0.232536417,0.167845912,0.241627358,0.170423497,0.231930971,0.11820331,0,0.119622642,0,0.121232227,0,0.190650701,0.194470353,0.189270129,0.204973084,0.212951807,0.205963584,0.204973084,0.212951807,0.205963584
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.06,3086,1,2,0,10800,2,2020,0.654569021,0,10519,6844.41091,0.64808814,0.64808814,0.165486417,0.242618333,0.167845912,0.25281038,0.170423497,0.256659836,0.11820331,0.052631579,0.119622642,0.1,0.121232227,0.074074074,0.187000008,0.232944704,0.23192436,0.220635734,0.203189227,0.189494681,0.220635734,0.232944704,0.23192436
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.07,3086,1,2,0,10800,2,2020,0.654569021,0,8964,5272.287445,0.64808814,0.64808814,0.165486417,0.242618333,0.167845912,0.25281038,0.170423497,0.256659836,0.11820331,0.052631579,0.119622642,0.1,0.121232227,0.074074074,0.187000008,0.232944704,0.23192436,0.220635734,0.203189227,0.189494681,0.220635734,0.232944704,0.23192436
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.08,3086,1,2,0,10800,2,2020,0.654569021,0,10062,7450.97449,0.64808814,0.64808814,0.165486417,0.242618333,0.167845912,0.25281038,0.170423497,0.256659836,0.11820331,0.052631579,0.119622642,0.1,0.121232227,0.074074074,0.187000008,0.232944704,0.23192436,0.220635734,0.203189227,0.189494681,0.220635734,0.232944704,0.23192436
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.09,3086,1,2,0,10800,2,2025,0.656189242,0,9776,8353.070806,0.651328581,0.650680493,0.165486417,0.227287891,0.167845912,0.247174764,0.170423497,0.226395019,0.11820331,0.087719298,0.119622642,0.068475452,0.121232227,0.062091503,0.171681285,0.219287142,0.197441602,0.204768008,0.215733522,0.184328969,0.204768008,0.219287142,0.197441602
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.11,3086,1,2,0,10800,2,2028,0.657161374,0,9496,5663.298983,0.655865198,0.666882696,0.165486417,0.256340116,0.167845912,0.261045597,0.170423497,0.256935687,0.11820331,0.101780186,0.119622642,0.121290323,0.121232227,0.165706605,0.21077808,0.196943973,0.191708736,0.222045629,0.234018427,0.299355565,0.222045629,0.234018427,0.299355565
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.12,3086,1,2,0,10800,2,2034,0.659105638,0,9944,4038.789557,0.653920933,0.662994167,0.165486417,0.253360366,0.167845912,0.280267296,0.170423497,0.264173497,0.11820331,0.113009164,0.119622642,0.181818182,0.121232227,0.133448541,0.222216304,0.234125637,0.234362967,0.248551653,0.231608788,0.245141162,0.248551653,0.234125637,0.245141162
FlowOCT,compas_train_calibration_1.csv,1,CSP,0.13,3086,1,2,0,10800,2,2035,0.659429682,0,9753,4676.63601,0.653272845,0.666234608,0.165486417,0.261166092,0.167845912,0.290330189,0.170423497,0.287200504,0.11820331,0.129138196,0.119622642,0.181818182,0.121232227,0.15188172,0.222077811,0.24991511,0.247625567,0.258190208,0.236428065,0.257160393,0.258190208,0.24991511,0.257160393
