approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,german_train_calibration_1.csv,1,None,1,502,1,2,0,10800,2,367,0.731075697,0,120577,2322.456855,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.01,502,1,2,0,10800,2,360,0.717131474,0,86006,6536.054135,0.718875502,0.722891566,0.105702174,0.009286619,0.177405119,0.090909091,0.180926916,0.098039216,0.85,0.272727273,0.888888889,0.5,0.9,0.2,0.184684685,0.2,0.222222222,0.060402685,0.054794521,0.065789474,0.184684685,0.2,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.02,502,1,2,0,10800,2,364,0.725099602,0,85733,6293.377703,0.702811245,0.726907631,0.105702174,0.018995357,0.177405119,0.055555556,0.180926916,0.088235294,0.85,0.666666667,0.888888889,0,0.9,0.8,0.198198198,0.115384615,0.222222222,0.040268456,0.038461538,0.04,0.198198198,0.115384615,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.03,502,1,2,0,10800,9,365,0.727091633,15.34246575,87238,10800.32918,0.702811245,0.718875502,0.105702174,0.028704095,0.177405119,0.067961165,0.180926916,0.078431373,0.85,0.727272727,0.888888889,0.75,0.9,0.1,0.220125786,0.108108108,0.222222222,0.040268456,0.045454545,0.052631579,0.220125786,0.108108108,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.04,502,1,2,0,10800,2,365,0.727091633,0,84256,7686.513361,0.702811245,0.718875502,0.105702174,0.028704095,0.177405119,0.067961165,0.180926916,0.078431373,0.85,0.727272727,0.888888889,0.75,0.9,0.1,0.220125786,0.108108108,0.222222222,0.040268456,0.045454545,0.052631579,0.220125786,0.108108108,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.05,502,1,2,0,10800,2,365,0.727091633,0,86849,8392.520992,0.702811245,0.718875502,0.105702174,0.028704095,0.177405119,0.067961165,0.180926916,0.078431373,0.85,0.727272727,0.888888889,0.75,0.9,0.1,0.220125786,0.108108108,0.222222222,0.040268456,0.045454545,0.052631579,0.220125786,0.108108108,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.06,502,1,2,0,10800,2,365,0.727091633,0,104417,9118.522832,0.702811245,0.718875502,0.105702174,0.028704095,0.177405119,0.067961165,0.180926916,0.078431373,0.85,0.727272727,0.888888889,0.75,0.9,0.1,0.220125786,0.108108108,0.222222222,0.040268456,0.045454545,0.052631579,0.220125786,0.108108108,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.07,502,1,2,0,10800,2,365,0.727091633,0,124164,9059.762575,0.702811245,0.710843373,0.105702174,0.058674546,0.177405119,0.165048544,0.180926916,0.117647059,0.85,0.875,0.888888889,0.5,0.9,0.333333333,0.144654088,0.3,0.333333333,0.075757576,0.121212121,0.078947368,0.144654088,0.3,0.333333333
FlowOCT,german_train_calibration_1.csv,1,SP,0.08,502,1,2,0,10800,2,365,0.727091633,0,122229,7238.597221,0.690763052,0.706827309,0.105702174,0.04592774,0.177405119,0.042365402,0.180926916,0.088235294,0.85,1,0.888888889,0.25,0.9,0.5,0.163522013,0.115384615,0.222222222,0.054957579,0.080808081,0.078947368,0.163522013,0.115384615,0.222222222
FlowOCT,german_train_calibration_1.csv,1,SP,0.09,502,1,2,0,10800,2,365,0.727091633,0,74611,3597.957502,0.702811245,0.718875502,0.105702174,0.028704095,0.177405119,0.067961165,0.180926916,0.078431373,0.85,0.727272727,0.888888889,0.75,0.9,0.1,0.220125786,0.108108108,0.222222222,0.040268456,0.045454545,0.052631579,0.220125786,0.108108108,0.222222222
