approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,10800,2,1733,0.558851983,0,246,2390.719354,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,10800,9,1733,0.558851983,6.001154068,5859,10800.43731,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.15,3101,2,0,10800,2,1780,0.574008384,0,12292,5199.290936,0.580686973,0.562827225,1,0.331754658,0.083850932,0.211919699,0.1,0.393410853,0.25,1,0.142857143,0.714285714,0.333333333,1,0.5,0.043927649,0.046272494,0.060240964,0.120813397,0.333333333,0.333333333,0.120813397,0.333333333,0.333333333
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,10800,9,1758,0.566913899,13.3105802,6912,10800.76964,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.25,3101,2,0,10800,9,1829,0.589809739,34.17167851,5381,10800.34808,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,10800,2,1829,0.589809739,0,9036,4928.132636,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.35,3101,2,0,10800,2,1884,0.607545953,0,8241,6797.561378,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,10800,9,1829,0.589809739,44.23182067,6132,10800.84808,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.45,3101,2,0,10800,2,1904,0.613995485,0,9255,5636.625426,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.4,3101,2,0,10800,2,1904,0.613995485,0,10902,6222.383983,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
