approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,10800,2,1733,0.558851983,0,246,2092.089449,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.02,3101,2,0,10800,2,1733,0.558851983,0,9474,10685.23208,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.03,3101,2,0,10800,9,1733,0.558851983,2.365839585,13794,10800.51515,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.04,3101,2,0,10800,9,1733,0.558851983,4.154645124,10536,10800.26773,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,10800,9,1733,0.558851983,6.001154068,5520,10800.29875,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.06,3101,2,0,10800,9,1733,0.558851983,7.674552799,11649,10800.17912,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.07,3101,2,0,10800,9,1733,0.558851983,9.521061743,8260,10800.25174,0.565780946,0.553664921,1,0.331754658,0.144664032,0.211919699,0.124045802,0.393410853,0.151041667,1,0,0.714285714,1,1,1,0.25,0.107969152,0.125356125,0.333333333,0.222222222,0.205128205,0.333333333,0.222222222,0.205128205
FlowOCT,compas_enc.csv,CSP,0.08,3101,2,0,10800,9,1745,0.562721703,17.0773639,9565,10800.45994,0.563836682,0.545811518,1,0.331754658,0.044099379,0.211919699,0.1,0.393410853,0.054263566,1,0.073059361,0.714285714,0.333333333,1,0.142857143,0.021963824,0.030848329,0.048192771,0.071428571,0.333333333,0.076923077,0.071428571,0.333333333,0.076923077
FlowOCT,compas_enc.csv,CSP,0.09,3101,2,0,10800,9,1745,0.562721703,12.26361032,3893,10800.41571,0.563836682,0.545811518,1,0.331754658,0.044099379,0.211919699,0.1,0.393410853,0.054263566,1,0.073059361,0.714285714,0.333333333,1,0.142857143,0.021963824,0.030848329,0.048192771,0.071428571,0.333333333,0.076923077,0.071428571,0.333333333,0.076923077
FlowOCT,compas_enc.csv,CSP,0.11,3101,2,0,10800,9,1758,0.566913899,14.96018203,6797,10800.30334,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.12,3101,2,0,10800,9,1758,0.566913899,16.72354949,8948,10800.13015,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.13,3101,2,0,10800,2,1758,0.566913899,0,11951,10565.05099,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.14,3101,2,0,10800,9,1758,0.566913899,20.13651877,7599,10800.47751,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.15,3101,2,0,10800,2,1780,0.574008384,0,12292,6391.457865,0.580686973,0.562827225,1,0.331754658,0.083850932,0.211919699,0.1,0.393410853,0.25,1,0.142857143,0.714285714,0.333333333,1,0.5,0.043927649,0.046272494,0.060240964,0.120813397,0.333333333,0.333333333,0.120813397,0.333333333,0.333333333
FlowOCT,compas_enc.csv,CSP,0.16,3101,2,0,10800,9,1780,0.574008384,30.61797753,3690,10800.12941,0.580686973,0.562827225,1,0.331754658,0.083850932,0.211919699,0.1,0.393410853,0.25,1,0.142857143,0.714285714,0.333333333,1,0.5,0.043927649,0.046272494,0.060240964,0.120813397,0.333333333,0.333333333,0.120813397,0.333333333,0.333333333
FlowOCT,compas_enc.csv,CSP,0.17,3101,2,0,10800,9,1780,0.574008384,32.58426966,10263,10800.31394,0.580686973,0.562827225,1,0.331754658,0.083850932,0.211919699,0.1,0.393410853,0.25,1,0.142857143,0.714285714,0.333333333,1,0.5,0.043927649,0.046272494,0.060240964,0.120813397,0.333333333,0.333333333,0.120813397,0.333333333,0.333333333
FlowOCT,compas_enc.csv,CSP,0.18,3101,2,0,10800,9,1780,0.574008384,33.42696629,6672,10800.43706,0.580686973,0.562827225,1,0.331754658,0.083850932,0.211919699,0.1,0.393410853,0.25,1,0.142857143,0.714285714,0.333333333,1,0.5,0.043927649,0.046272494,0.060240964,0.120813397,0.333333333,0.333333333,0.120813397,0.333333333,0.333333333
FlowOCT,compas_enc.csv,CSP,0.19,3101,2,0,10800,9,1792,0.577878104,25.55803571,7501,10800.47835,0.576150356,0.568062827,1,0.331754658,0.163586957,0.211919699,0.191969887,0.393410853,0.09496124,1,0.186550976,0.714285714,1,1,1,0.25,0.174807198,0.182336182,0.333333333,0.333333333,0.369565217,0.333333333,0.333333333,0.369565217
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,10800,9,1758,0.566913899,13.3105802,7132,10800.17076,0.567725211,0.55104712,1,0.331754658,0.059627329,0.211919699,0.1,0.393410853,0.0546875,1,0.095890411,0.714285714,0.333333333,1,0.142857143,0.032299742,0.038560411,0.048192771,0.08492823,0.333333333,0.102564103,0.08492823,0.333333333,0.102564103
FlowOCT,compas_enc.csv,CSP,0.21,3101,2,0,10800,2,1829,0.589809739,0,8990,6617.308768,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.22,3101,2,0,10800,9,1829,0.589809739,29.14160744,7829,10800.14461,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.23,3101,2,0,10800,9,1818,0.586262496,38.50385039,2866,10800.31607,0.591056384,0.570026178,1,0.331754658,0.132298137,0.211919699,0.121706399,0.393410853,0.156976744,1,0.196347032,0.714285714,0.444444444,1,0.462962963,0.081395349,0.084832905,0.085470085,0.179425837,0.333333333,0.391304348,0.179425837,0.333333333,0.391304348
FlowOCT,compas_enc.csv,CSP,0.24,3101,2,0,10800,2,1829,0.589809739,0,9646,10437.19156,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.25,3101,2,0,10800,9,1829,0.589809739,34.17167851,6195,10800.40451,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.26,3101,2,0,10800,9,1829,0.589809739,43.41170038,10165,10800.13282,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.27,3101,2,0,10800,9,1829,0.589809739,45.05194095,5390,10800.4828,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.28,3101,2,0,10800,2,1829,0.589809739,0,9151,5806.23721,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.29,3101,2,0,10800,2,1829,0.589809739,0,8770,8176.884045,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,10800,2,1829,0.589809739,0,9036,4994.197066,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.31,3101,2,0,10800,9,1829,0.589809739,48.87916894,5634,10800.35029,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.32,3101,2,0,10800,2,1884,0.607545953,0,9419,7807.785875,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.33,3101,2,0,10800,2,1884,0.607545953,0,11031,5804.928721,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.34,3101,2,0,10800,2,1884,0.607545953,0,10090,7563.44427,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.35,3101,2,0,10800,2,1884,0.607545953,0,8241,6939.887385,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.36,3101,2,0,10800,2,1884,0.607545953,0,6447,6394.517742,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.37,3101,2,0,10800,2,1884,0.607545953,0,10158,6831.099854,0.611795204,0.592277487,1,0.331754658,0.214285714,0.211919699,0.2,0.393410853,0.156976744,1,0.314285714,0.714285714,0.5,1,0.462962963,0.134366925,0.142857143,0.148148148,0.288277512,0.333333333,0.347826087,0.288277512,0.333333333,0.347826087
FlowOCT,compas_enc.csv,CSP,0.38,3101,2,0,10800,2,1904,0.613995485,0,7823,6280.846689,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.39,3101,2,0,10800,2,1904,0.613995485,0,8603,6431.727838,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,10800,9,1829,0.589809739,44.23182067,5170,10800.15256,0.597537265,0.570026178,1,0.331754658,0.106832298,0.211919699,0.2,0.393410853,0.2,1,0.2,0.714285714,0.5,1,0.5,0.047803618,0.142857143,0.045584046,0.161483254,0.333333333,0.5,0.161483254,0.333333333,0.5
FlowOCT,compas_enc.csv,CSP,0.41,3101,2,0,10800,2,1904,0.613995485,0,8147,6909.928426,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.42,3101,2,0,10800,2,1904,0.613995485,0,8276,10587.56245,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.43,3101,2,0,10800,2,1904,0.613995485,0,8103,5475.311656,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.44,3101,2,0,10800,2,1904,0.613995485,0,7991,7351.657201,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.45,3101,2,0,10800,2,1904,0.613995485,0,9255,7816.527307,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.46,3101,2,0,10800,2,1904,0.613995485,0,8951,6164.404184,0.622164614,0.601439791,1,0.331754658,0.232298137,0.211919699,0.3,0.393410853,0.142473118,1,0.375757576,0.714285714,1,1,0.462962963,0.143410853,0.142857143,0.153846154,0.314593301,0.666666667,0.326086957,0.314593301,0.666666667,0.326086957
FlowOCT,compas_enc.csv,CSP,0.47,3101,2,0,10800,2,1964,0.633344083,0,7277,5046.082674,0.644199611,0.623691099,1,0.331754658,0.267701863,0.211919699,0.249686324,0.393410853,0.279947917,1,0.468812877,0.714285714,0.5,1,0.5,0.142118863,0.142857143,0.150997151,0.383971292,0.370098039,0.5,0.383971292,0.370098039,0.5
FlowOCT,compas_enc.csv,CSP,0.48,3101,2,0,10800,2,1964,0.633344083,0,5934,5026.361574,0.644199611,0.623691099,1,0.331754658,0.267701863,0.211919699,0.249686324,0.393410853,0.279947917,1,0.468812877,0.714285714,0.5,1,0.5,0.142118863,0.142857143,0.150997151,0.383971292,0.370098039,0.5,0.383971292,0.370098039,0.5
FlowOCT,compas_enc.csv,CSP,0.49,3101,2,0,10800,2,1985,0.640116092,0,5704,6026.204344,0.616979909,0.629581152,1,0.331754658,0.440993789,0.211919699,0.43412798,0.393410853,0.2375,1,0.482678984,0.714285714,0.5,1,1,0.307692308,0.329048843,0.301994302,0.575358852,0.534313725,0.225471796,0.575358852,0.534313725,0.301994302
