approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,adult_train_calibration_1.csv,1,None,1,3333,1,2,0,10800,2,2690,0.807080708,0,8995,9753.881874,0.790676417,0.808638272,0.184493208,0.105504911,0.203258103,0.084671666,0.184145116,0.078130469
FlowOCT,adult_train_calibration_1.csv,1,SP,0.01,3333,1,2,0,10800,9,2617,0.785178518,19.94650363,2030,10800.7002,0.767029648,0.784043191,0.184493208,0.006537827,0.203258103,-0.020168572,0.184145116,-0.015443321
FlowOCT,adult_train_calibration_1.csv,1,SP,0.02,3333,1,2,0,10800,9,2615,0.784578458,20.45889101,1044,10800.32451,0.774421747,0.791841632,0.184493208,0.003776735,0.203258103,-0.006872088,0.184145116,0.002564975
FlowOCT,adult_train_calibration_1.csv,1,SP,0.03,3333,1,2,0,10800,9,2624,0.787278728,20.46493902,4044,10800.58897,0.77028853,0.787642472,0.184493208,-0.028191514,0.203258103,-0.054583086,0.184145116,-0.049661352
FlowOCT,adult_train_calibration_1.csv,1,SP,0.04,3333,1,2,0,10800,9,2626,0.787878788,20.79207921,607,10800.21234,0.771838487,0.785842831,0.184493208,0.039901217,0.203258103,0.027996001,0.184145116,0.029601724
FlowOCT,adult_train_calibration_1.csv,1,SP,0.05,3333,1,2,0,10800,9,2636,0.790879088,20.75113809,648,10800.40027,0.772633336,0.782843431,0.184493208,0.049764111,0.203258103,0.034317494,0.184145116,0.029579039
FlowOCT,adult_train_calibration_1.csv,1,SP,0.06,3333,1,2,0,10800,9,2643,0.792979298,20.84752176,331,10800.34584,0.774858914,0.785842831,0.184493208,0.051137359,0.203258103,0.038381161,0.184145116,0.030491283
FlowOCT,adult_train_calibration_1.csv,1,SP,0.07,3333,1,2,0,10800,9,2656,0.796879688,20.70783133,1160,10800.60577,0.785629123,0.803239352,0.184493208,0.068503042,0.203258103,0.052704393,0.184145116,0.05020092
FlowOCT,adult_train_calibration_1.csv,1,SP,0.08,3333,1,2,0,10800,9,2659,0.797779778,20.98533283,1304,10800.22291,0.785191956,0.805638872,0.184493208,0.079311438,0.203258103,0.059069033,0.184145116,0.050207402
FlowOCT,adult_train_calibration_1.csv,1,SP,0.09,3333,1,2,0,10800,9,2667,0.800180018,20.99737533,3204,10800.54968,0.783363803,0.788842232,0.184493208,0.080755234,0.203258103,0.069552717,0.184145116,0.067342342
