approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,default_train_calibration_1.csv,1,None,1,3333,1,2,0,10800,2,2722,0.816681668,0,9762,4687.617988,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.01,3333,1,2,0,10800,9,2693,0.807980798,14.2963238,6962,10800.16614,0.80764,0.805038992,-0.046348567,-0.009804812,-0.031345747,-0.010191021,-0.046672224,0.005308364
FlowOCT,default_train_calibration_1.csv,1,SP,0.02,3333,1,2,0,10800,9,2707,0.812181218,21.7953454,5905,10800.42759,0.81616,0.812237552,-0.046348567,-0.01997758,-0.031345747,-0.008718077,-0.046672224,-0.005967816
FlowOCT,default_train_calibration_1.csv,1,SP,0.03,3333,1,2,0,10800,9,2722,0.816681668,13.77663483,8250,10801.42414,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.04,3333,1,2,0,10800,9,2701,0.810381038,14.47611996,8815,10800.28881,0.81428,0.809838032,-0.046348567,-0.025275687,-0.031345747,-0.006338493,-0.046672224,-0.013187549
FlowOCT,default_train_calibration_1.csv,1,SP,0.05,3333,1,2,0,10800,9,2722,0.816681668,13.88684791,6673,10800.2594,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.06,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,4869,10801.1368,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.07,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,3480,10800.85269,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.08,3333,1,2,0,10800,9,2722,0.816681668,20.68332109,6054,10800.42409,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.09,3333,1,2,0,10800,9,2717,0.815181518,21.23665808,7262,10800.27877,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
FlowOCT,default_train_calibration_1.csv,1,SP,0.11,3333,1,2,0,10800,9,2722,0.816681668,11.20499633,11540,10800.25256,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.12,3333,1,2,0,10800,9,2722,0.816681668,22.26304188,5848,10802.02394,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.13,3333,1,2,0,10800,9,2722,0.816681668,12.96840558,9242,10801.61706,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.14,3333,1,2,0,10800,9,2722,0.816681668,13.11535636,11858,10800.31979,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.15,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,3796,10800.59461,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.16,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,6364,10800.73662,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
