sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.01,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.01,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.01,3,70.306,0.2473,69.478,0.11182,70.04,0,65.863,-0.057087
1,0.02,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.02,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.02,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.03,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.03,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.03,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.04,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.04,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.04,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.05,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.05,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.05,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.06,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.06,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.06,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.07,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.07,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.07,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.08,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.08,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.08,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.09,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.09,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.09,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.1,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.1,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.1,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.11,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.11,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.11,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.12,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.12,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.12,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.13,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.13,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.13,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.14,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.14,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.14,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.15,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.15,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.15,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.16,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.16,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.16,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.17,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.17,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.17,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.18,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.18,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
1,0.18,3,70.306,0.2473,69.478,0.11182,70.306,0.011072,67.871,-0.012753
1,0.19,1,69.907,9.99E-16,70.281,5.55E-16,69.907,9.99E-16,70.281,5.55E-16
1,0.19,2,70.04,0.24659,71.084,0.10487,69.907,9.99E-16,70.281,5.55E-16
