sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.01,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.01,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.01,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.05,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.05,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.05,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.1,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.1,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.1,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.15,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.15,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.15,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.2,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.2,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.2,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.25,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.25,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.25,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.3,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.3,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.3,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.35,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.35,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.35,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.4,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.4,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.4,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.45,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.45,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.45,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.5,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.5,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.5,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.55,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.55,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.55,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
1,0.6,1,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.6,2,76.667,-0.12755,74.907,-0.14433,76.667,-0.12755,74.907,-0.14433
1,0.6,3,77.111,-0.13671,74.485,-0.15772,77.111,-0.13671,74.485,-0.15772
