sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.01,1,61.261,0.21939,61.044,0.28296,59.76,0,60.241,0.054672
1,0.01,2,64.865,0.22417,59.839,0.31049,64.114,0,59.036,0.099006
1,0.01,3,66.667,0.20427,56.627,0.22473,65.465,0,57.028,0.054672
1,0.05,1,61.261,0.21939,61.044,0.28296,59.76,0,60.241,0.054672
1,0.05,2,64.865,0.22417,59.839,0.31049,64.114,0,59.036,0.099006
1,0.05,3,66.667,0.20427,56.627,0.22473,65.465,0,57.028,0.054672
1,0.1,1,61.261,0.21939,61.044,0.28296,59.76,0,60.241,0.054672
1,0.1,2,64.865,0.22417,59.839,0.31049,64.114,0,59.036,0.099006
1,0.1,3,66.667,0.20427,56.627,0.22473,65.465,0,57.028,0.054672
1,0.15,1,61.261,0.21939,61.044,0.28296,59.76,0,60.241,0.054672
1,0.15,2,64.865,0.22417,59.839,0.31049,64.114,0,59.036,0.099006
1,0.15,3,66.667,0.20427,56.627,0.22473,65.465,0,57.028,0.054672
1,0.2,1,61.261,0.21939,61.044,0.28296,59.76,0,60.241,0.054672
1,0.2,2,64.865,0.22417,59.839,0.31049,64.114,0,59.036,0.099006
1,0.2,3,66.667,0.20427,56.627,0.22473,65.465,0,57.028,0.054672
1,0.25,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.25,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.25,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.3,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.3,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.3,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.35,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.35,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.35,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.4,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.4,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.4,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.45,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.45,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.45,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.5,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.5,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.5,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.55,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.55,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.55,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.6,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.6,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.6,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.65,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.65,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.65,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.7,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.7,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.7,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.75,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.75,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.75,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.8,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.8,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.8,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.85,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.85,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.85,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
1,0.9,1,61.261,0.21939,61.044,0.28296,61.261,0.21939,61.044,0.28296
1,0.9,2,64.865,0.22417,59.839,0.31049,64.865,0.22417,59.839,0.31049
1,0.9,3,66.667,0.20427,56.627,0.22473,66.667,0.20427,56.627,0.22473
2,0.01,1,66.967,0.11828,57.831,0.14969,57.808,0,70.683,-0.023481
2,0.01,2,67.267,0.087308,55.02,0.1123,60.511,0,60.643,-0.2162
2,0.01,3,67.718,0.060699,52.209,0.077823,62.162,0,61.446,-0.23125
2,0.05,1,66.967,0.11828,57.831,0.14969,57.808,0,70.683,-0.023481
2,0.05,2,67.267,0.087308,55.02,0.1123,60.511,0,60.643,-0.2162
2,0.05,3,67.718,0.060699,52.209,0.077823,67.568,0.04409,55.422,0.15144
2,0.1,1,66.967,0.11828,57.831,0.14969,57.808,0,70.683,-0.023481
2,0.1,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.1,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.15,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.15,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.15,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.2,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.2,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.2,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.25,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.25,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.25,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.3,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.3,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.3,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.35,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.35,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.35,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.4,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.4,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.4,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.45,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.45,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.45,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.5,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.5,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.5,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.55,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.55,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
2,0.55,3,67.718,0.060699,52.209,0.077823,67.718,0.060699,52.209,0.077823
2,0.6,1,66.967,0.11828,57.831,0.14969,66.967,0.11828,57.831,0.14969
2,0.6,2,67.267,0.087308,55.02,0.1123,67.267,0.087308,55.02,0.1123
