approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_train_calibration_1.csv,1,None,1,3086,1,2,0,10800,2,2062,0.668178872,0,2955,365.7274849,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.01,3086,1,2,0,10800,2,1967,0.637394686,0,6126,5040.667096,0.637483787,0.636658031,0.098347426,0.009056076,0.095327996,0.008242731,0.097800391,0.009034273,0.065686275,1,0.063419118,1,0.063419118,1,0.032902181,0.032424985,0.033992332,0.032585758,0.029635139,0.030454572,0.032902181,0.032424985,0.033992332
FlowOCT,compas_train_calibration_1.csv,1,SP,0.02,3086,1,2,0,10800,2,1967,0.637394686,0,3869,3658.397192,0.637483787,0.636658031,0.098347426,0.009056076,0.095327996,0.008242731,0.097800391,0.009034273,0.065686275,1,0.063419118,1,0.063419118,1,0.032902181,0.032424985,0.033992332,0.032585758,0.029635139,0.030454572,0.032902181,0.032424985,0.033992332
FlowOCT,compas_train_calibration_1.csv,1,SP,0.03,3086,1,2,0,10800,2,1967,0.637394686,0,5610,4370.136861,0.637483787,0.636658031,0.098347426,0.009056076,0.095327996,0.008242731,0.097800391,0.009034273,0.065686275,1,0.063419118,1,0.063419118,1,0.032902181,0.032424985,0.033992332,0.032585758,0.029635139,0.030454572,0.032902181,0.032424985,0.033992332
FlowOCT,compas_train_calibration_1.csv,1,SP,0.04,3086,1,2,0,10800,2,1967,0.637394686,0,5325,7400.421461,0.637483787,0.636658031,0.098347426,0.009056076,0.095327996,0.008242731,0.097800391,0.009034273,0.065686275,1,0.063419118,1,0.063419118,1,0.032902181,0.032424985,0.033992332,0.032585758,0.029635139,0.030454572,0.032902181,0.032424985,0.033992332
FlowOCT,compas_train_calibration_1.csv,1,SP,0.05,3086,1,2,0,10800,2,1990,0.644847699,0,5381,8113.643169,0.646562905,0.629533679,0.098347426,0.048066542,0.095327996,0.038718921,0.097800391,0.056472603,0.065686275,0.419117647,0.063419118,0.426470588,0.063419118,0.441176471,0.046942742,0.035559781,0.090067098,0.110634539,0.102450673,0.064435155,0.110634539,0.102450673,0.090067098
FlowOCT,compas_train_calibration_1.csv,1,SP,0.06,3086,1,2,0,10800,2,1990,0.644847699,0,5544,9844.385155,0.646562905,0.629533679,0.098347426,0.048066542,0.095327996,0.038718921,0.097800391,0.056472603,0.065686275,0.419117647,0.063419118,0.426470588,0.063419118,0.441176471,0.046942742,0.035559781,0.090067098,0.110634539,0.102450673,0.064435155,0.110634539,0.102450673,0.090067098
FlowOCT,compas_train_calibration_1.csv,1,SP,0.07,3086,1,2,0,10800,2,1990,0.644847699,0,4577,4537.923681,0.646562905,0.629533679,0.098347426,0.048066542,0.095327996,0.038718921,0.097800391,0.056472603,0.065686275,0.419117647,0.063419118,0.426470588,0.063419118,0.441176471,0.046942742,0.035559781,0.090067098,0.110634539,0.102450673,0.064435155,0.110634539,0.102450673,0.090067098
FlowOCT,compas_train_calibration_1.csv,1,SP,0.08,3086,1,2,0,10800,2,2031,0.658133506,0,4853,6915.253797,0.659533074,0.642487047,0.098347426,0.077240583,0.095327996,0.087141452,0.097800391,0.06938777,0.065686275,0.580882353,0.063419118,0.573529412,0.063419118,0.558823529,0.055843041,0.068087052,0.013779056,0.038258821,0.046742875,0.084458206,0.055843041,0.068087052,0.084458206
FlowOCT,compas_train_calibration_1.csv,1,SP,0.09,3086,1,2,0,10800,2,2031,0.658133506,0,5037,5225.382662,0.659533074,0.642487047,0.098347426,0.077240583,0.095327996,0.087141452,0.097800391,0.06938777,0.065686275,0.580882353,0.063419118,0.573529412,0.063419118,0.558823529,0.055843041,0.068087052,0.013779056,0.038258821,0.046742875,0.084458206,0.055843041,0.068087052,0.084458206
