approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train data,pe train pred,pe test data,pe test pred,pe cal data,pe cal pred,EOpp train data,EOpp train pred,EOpp test data,EOpp test pred,EOpp cal data,EOpp cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,10800,2,1723,0.555627217,0,0,27.67910719,0.556059624,0.55039267,1,0.4125,0.000621118,0.407234962,0,0.8,0,1,0.002012072,0.556701031,0,1,0,1.11E-16,0,0,0,1,0,0,0.001091703,0,0,0,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,10800,2,1741,0.561431796,0,0,27.39852643,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.15,3101,1,0,10800,2,1741,0.561431796,0,1,61.04994249,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,10800,2,1741,0.561431796,0,1,47.71899652,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.25,3101,1,0,10800,2,1741,0.561431796,0,1,45.85622048,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,10800,2,1741,0.561431796,0,1,48.9350183,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.35,3101,1,0,10800,2,1741,0.561431796,0,1,44.70138884,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,10800,2,1741,0.561431796,0,1,63.20204473,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.45,3101,1,0,10800,2,1912,0.616575298,0,1,65.86523223,0.626701231,0.606675393,1,0.4125,0.3125,0.407234962,0.26348808,0.8,0.5,1,0.422632794,0.556701031,0.444444444,1,1,1.11E-16,0.307692308,0,0.171597633,1,0.187898089,0,0.424242424,0,0.5,0,0.608695652
FlowOCT,compas_enc.csv,CSP,0.4,3101,1,0,10800,2,1741,0.561431796,0,1,46.96348238,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,CSP,0.55,3101,1,0,10800,2,1932,0.623024831,0,39,97.33728576,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,10800,2,1932,0.623024831,0,31,74.83405232,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,CSP,0.6,3101,1,0,10800,2,1932,0.623024831,0,33,118.6084211,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,EOdds,0.01,3101,1,0,10800,2,1723,0.555627217,0,23,251.4607081,0.556059624,0.55039267,1,0.4125,0.000621118,0.407234962,0,0.8,0,1,0.002012072,0.556701031,0,1,0,1.11E-16,0,0,0,1,0,0,0.001091703,0,0,0,0
FlowOCT,compas_enc.csv,EOdds,0.05,3101,1,0,10800,2,1741,0.561431796,0,41,261.6145871,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
