approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,german_enc.csv,CSP,0.01,502,2,0,10800,2,361,0.719123506,0,1553,555.0530653,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.02,502,2,0,10800,2,361,0.719123506,0,15166,1390.7295,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.03,502,2,0,10800,2,361,0.719123506,0,8200,796.8345442,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.04,502,2,0,10800,2,361,0.719123506,0,16980,2389.191898,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.05,502,2,0,10800,2,361,0.719123506,0,10629,694.8937333,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.06,502,2,0,10800,2,361,0.719123506,0,6295,514.0616274,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.07,502,2,0,10800,2,361,0.719123506,0,11523,764.6993499,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.08,502,2,0,10800,2,361,0.719123506,0,10191,636.7644029,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.09,502,2,0,10800,2,361,0.719123506,0,6665,766.8807433,0.724,0.705645161,1,0.165711308,0.041427827,0.1875,0.083333333,0.175,0.163043478,0.8,0,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.11,502,2,0,10800,2,362,0.721115538,0,8766,835.487566,0.724,0.705645161,1,0.165711308,0.036477332,0.1875,0.083333333,0.175,0.163043478,0.8,0.1,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.12,502,2,0,10800,2,362,0.721115538,0,14137,928.905158,0.724,0.705645161,1,0.165711308,0.036477332,0.1875,0.083333333,0.175,0.163043478,0.8,0.1,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
FlowOCT,german_enc.csv,CSP,0.13,502,2,0,10800,2,362,0.721115538,0,11242,653.2314043,0.724,0.705645161,1,0.165711308,0.036477332,0.1875,0.083333333,0.175,0.163043478,0.8,0.1,1,0,1,1,0.1,0.282352941,0.315789474,0.045454545,0.056338028,0.123287671,0.1,0.282352941,0.315789474
