approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,10800,2,1970,0.635278942,0,1966,4612.763443,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.02,3101,2,0,10800,2,1970,0.635278942,0,1880,4136.603647,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.03,3101,2,0,10800,2,1970,0.635278942,0,2970,4424.018084,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.04,3101,2,0,10800,2,1970,0.635278942,0,3779,6213.178684,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,10800,2,1970,0.635278942,0,4131,3890.897947,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.06,3101,2,0,10800,2,1970,0.635278942,0,3687,4152.307055,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.07,3101,2,0,10800,2,1970,0.635278942,0,4090,5322.165994,0.678548283,0.652486911,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.253179506,1,0,0.5,0,1,0,0.5,0.290488432,0.358974359,0.666666667,0.666666667,0.273381295,0.666666667,0.666666667,0.358974359
FlowOCT,compas_enc.csv,CSP,0.08,3101,2,0,10800,2,1986,0.640438568,0,3918,3735.752521,0.674011666,0.65052356,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.281764777,1,0.071428571,0.5,0.06314433,1,0.106060606,0.5,0.311053985,0.381766382,0.666666667,0.666666667,0.299812324,0.666666667,0.666666667,0.381766382
FlowOCT,compas_enc.csv,CSP,0.09,3101,2,0,10800,2,1986,0.640438568,0,4409,4750.903455,0.674011666,0.65052356,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.281764777,1,0.071428571,0.5,0.06314433,1,0.106060606,0.5,0.311053985,0.381766382,0.666666667,0.666666667,0.299812324,0.666666667,0.666666667,0.381766382
FlowOCT,compas_enc.csv,CSP,0.11,3101,2,0,10800,2,1986,0.640438568,0,4766,6334.613499,0.674011666,0.65052356,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.281764777,1,0.071428571,0.5,0.06314433,1,0.106060606,0.5,0.311053985,0.381766382,0.666666667,0.666666667,0.299812324,0.666666667,0.666666667,0.381766382
FlowOCT,compas_enc.csv,CSP,0.12,3101,2,0,10800,2,1986,0.640438568,0,4942,4667.550833,0.674011666,0.65052356,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.281764777,1,0.071428571,0.5,0.06314433,1,0.106060606,0.5,0.311053985,0.381766382,0.666666667,0.666666667,0.299812324,0.666666667,0.666666667,0.381766382
FlowOCT,compas_enc.csv,CSP,0.13,3101,2,0,10800,2,1990,0.641728475,0,5587,5305.670857,0.681140635,0.64986911,1,0.331754658,0.5375,0.211919699,0.307228916,0.393410853,0.269864341,1,0.125,0.5,0.065217391,1,0.142857143,0.5,0.275064267,0.347578348,0.666666667,0.666666667,0.285580231,0.666666667,0.666666667,0.347578348
