approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,german_train_calibration_1.csv,1,None,1,501,1,2,0,10800,2,369,0.736526946,0,147175,3296.864255,0.742971888,0.712,0.145061728,0.035802469,0.142107518,0.040051403,0.165222772,0.081683168,0.20678733,0.277777778,0.444444444,0.555555556,0.375,0.5,0.186363636,0.128229665,0.006060606,0.00811138,0.077827828,0.076341648,0.186363636,0.128229665,0.076341648
FlowOCT,german_train_calibration_1.csv,1,SP,0.01,501,1,2,0,10800,2,364,0.726546906,0,299464,9001.203737,0.730923695,0.716,0.145061728,0.001234568,0.142107518,0.038016706,0.165222772,0.007219472,0.20678733,0.261904762,0.444444444,0.34469697,0.375,0.5,0.027272727,0.082296651,0.1004329,0.033656174,0.06031031,0.029478458,0.033656174,0.082296651,0.1004329
FlowOCT,german_train_calibration_1.csv,1,SP,0.02,501,1,2,0,10800,2,366,0.730538922,0,62371,3840.203815,0.722891566,0.7,0.145061728,0.019830247,0.142107518,0.010173485,0.165222772,0.036922442,0.20678733,0.222222222,0.444444444,0.888888889,0.375,0.25,0.113636364,0.010526316,0.00952381,0.00405569,0.023773774,0.036281179,0.113636364,0.023773774,0.036281179
FlowOCT,german_train_calibration_1.csv,1,SP,0.03,501,1,2,0,10800,2,366,0.730538922,0,61599,5734.818924,0.734939759,0.72,0.145061728,0.019830247,0.142107518,0.041764832,0.165222772,0.020008251,0.20678733,0.238095238,0.444444444,1,0.375,0.404761905,0.113636364,0.063157895,0.057142857,0.00405569,0.01026026,0.033257748,0.113636364,0.063157895,0.057142857
FlowOCT,german_train_calibration_1.csv,1,SP,0.04,501,1,2,0,10800,2,369,0.736526946,0,47367,2755.124837,0.742971888,0.712,0.145061728,0.035802469,0.142107518,0.040051403,0.165222772,0.081683168,0.20678733,0.277777778,0.444444444,0.555555556,0.375,0.5,0.186363636,0.128229665,0.006060606,0.00811138,0.077827828,0.076341648,0.186363636,0.128229665,0.076341648
FlowOCT,german_train_calibration_1.csv,1,SP,0.05,501,1,2,0,10800,2,369,0.736526946,0,62964,5258.086973,0.714859438,0.708,0.145061728,0.046141975,0.142107518,0.020025701,0.165222772,0.062293729,0.20678733,0.19047619,0.444444444,0.888888889,0.375,0.25,0.172727273,0.046889952,0.170562771,0.011743341,0.023773774,0.024187453,0.172727273,0.046889952,0.170562771
FlowOCT,german_train_calibration_1.csv,1,SP,0.06,501,1,2,0,10800,2,369,0.736526946,0,48987,2791.653877,0.714859438,0.708,0.145061728,0.046141975,0.142107518,0.020025701,0.165222772,0.062293729,0.20678733,0.19047619,0.444444444,0.888888889,0.375,0.25,0.172727273,0.046889952,0.170562771,0.011743341,0.023773774,0.024187453,0.172727273,0.046889952,0.170562771
FlowOCT,german_train_calibration_1.csv,1,SP,0.07,501,1,2,0,10800,2,369,0.736526946,0,60529,4766.951483,0.714859438,0.708,0.145061728,0.046141975,0.142107518,0.020025701,0.165222772,0.062293729,0.20678733,0.19047619,0.444444444,0.888888889,0.375,0.25,0.172727273,0.046889952,0.170562771,0.011743341,0.023773774,0.024187453,0.172727273,0.046889952,0.170562771
FlowOCT,german_train_calibration_1.csv,1,SP,0.08,501,1,2,0,10800,2,369,0.736526946,0,49895,3694.068585,0.714859438,0.708,0.145061728,0.046141975,0.142107518,0.020025701,0.165222772,0.062293729,0.20678733,0.19047619,0.444444444,0.888888889,0.375,0.25,0.172727273,0.046889952,0.170562771,0.011743341,0.023773774,0.024187453,0.172727273,0.046889952,0.170562771
FlowOCT,german_train_calibration_1.csv,1,SP,0.09,501,1,2,0,10800,2,369,0.736526946,0,47120,2291.328201,0.714859438,0.708,0.145061728,0.046141975,0.142107518,0.020025701,0.165222772,0.062293729,0.20678733,0.19047619,0.444444444,0.888888889,0.375,0.25,0.172727273,0.046889952,0.170562771,0.011743341,0.023773774,0.024187453,0.172727273,0.046889952,0.170562771
