approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_train_calibration_1.csv,1,None,1,3086,1,2,0,10800,2,2062,0.668178872,0,2710,239.8459868,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.01,3086,1,2,0,10800,2,1846,0.598185353,0,5571,4146.393073,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,0.016228853,0.065686275,0.049498302,0.063419118,0.056045752,0.063419118,0.096507353,0.012275188,0.019843681,0.007967889,0.006816509,0.02804964,0.074563888,0.012275188,0.02804964,0.074563888
FlowOCT,compas_train_calibration_1.csv,1,SP,0.02,3086,1,2,0,10800,2,1846,0.598185353,0,7130,4035.53444,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,0.016228853,0.065686275,0.049498302,0.063419118,0.056045752,0.063419118,0.096507353,0.012275188,0.019843681,0.007967889,0.006816509,0.02804964,0.074563888,0.012275188,0.02804964,0.074563888
FlowOCT,compas_train_calibration_1.csv,1,SP,0.03,3086,1,2,0,10800,2,1852,0.600129618,0,5856,4711.951264,0.59922179,0.595854922,0.098347426,0.026357956,0.095327996,0.024014609,0.097800391,0.032142384,0.065686275,0.069117647,0.063419118,0.062040441,0.063419118,0.088235294,0.009718544,0.022340688,0.031853583,0.012234382,0.00923896,0.002734856,0.012234382,0.022340688,0.031853583
FlowOCT,compas_train_calibration_1.csv,1,SP,0.04,3086,1,2,0,10800,2,1897,0.614711601,0,4947,7964.240292,0.609597925,0.615284974,0.098347426,0.037325397,0.095327996,0.047984267,0.097800391,0.057707772,0.065686275,0.025490196,0.063419118,0.04200021,0.063419118,0.050549096,0.01091744,0.042238521,0.038084112,0.029366443,0.014876292,0.03987029,0.029366443,0.042238521,0.03987029
FlowOCT,compas_train_calibration_1.csv,1,SP,0.05,3086,1,2,0,10800,2,1918,0.621516526,0,5498,4464.27176,0.61997406,0.618523316,0.098347426,0.040262111,0.095327996,0.055547127,0.097800391,0.060709868,0.065686275,0.022993208,0.063419118,0.078125,0.063419118,0.050549096,0.012131321,0.050108605,0.033123652,0.030156549,0.016363921,0.050985525,0.030156549,0.050108605,0.050985525
FlowOCT,compas_train_calibration_1.csv,1,SP,0.06,3086,1,2,0,10800,2,1935,0.627025275,0,4913,5838.394549,0.61997406,0.624352332,0.098347426,0.05654285,0.095327996,0.070965023,0.097800391,0.07119761,0.065686275,0.02862108,0.063419118,0.078125,0.063419118,0.050549096,0.032035979,0.056504552,0.031583992,0.040584973,0.045568431,0.076566193,0.040584973,0.056504552,0.076566193
FlowOCT,compas_train_calibration_1.csv,1,SP,0.07,3086,1,2,0,10800,2,1969,0.638042774,0,5109,4650.807576,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639,0.065686275,0.093254051,0.063419118,0.107996324,0.063419118,0.068578632,0.020806827,0.026504371,0.029163671,0.064783825,0.096108675,0.110390498,0.064783825,0.096108675,0.110390498
FlowOCT,compas_train_calibration_1.csv,1,SP,0.08,3086,1,2,0,10800,2,1969,0.638042774,0,4902,4241.17092,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639,0.065686275,0.093254051,0.063419118,0.107996324,0.063419118,0.068578632,0.020806827,0.026504371,0.029163671,0.064783825,0.096108675,0.110390498,0.064783825,0.096108675,0.110390498
FlowOCT,compas_train_calibration_1.csv,1,SP,0.09,3086,1,2,0,10800,2,1983,0.642579391,0,4183,3418.940184,0.64461738,0.644430052,0.098347426,0.088905149,0.095327996,0.089922742,0.097800391,0.095955101,0.065686275,0.022993208,0.063419118,0.04200021,0.063419118,0.013740939,0.058423663,0.052930523,0.057242991,0.065966531,0.077200125,0.083471704,0.065966531,0.077200125,0.083471704
