approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,german_train_calibration_1.csv,1,None,1,501,1,2,0,10800,2,369,0.736526946,0,129504,2867.264421,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.01,501,1,2,0,10800,2,364,0.726546906,0,159628,6342.197205,0.730923695,0.716,0.145061728,0.001234568,0.142107518,0.038016706,0.165222772,0.007219472
FlowOCT,german_train_calibration_1.csv,1,SP,0.02,501,1,2,0,10800,2,366,0.730538922,0,67131,3518.486478,0.722891566,0.7,0.145061728,-0.019830247,0.142107518,0.010173485,0.165222772,0.036922442
FlowOCT,german_train_calibration_1.csv,1,SP,0.03,501,1,2,0,10800,2,366,0.730538922,0,83212,6573.752829,0.714859438,0.712,0.145061728,-0.021990741,0.142107518,-0.03737417,0.165222772,-0.079207921
FlowOCT,german_train_calibration_1.csv,1,SP,0.04,501,1,2,0,10800,2,369,0.736526946,0,105910,6467.304751,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.05,501,1,2,0,10800,2,369,0.736526946,0,70593,4842.998944,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.06,501,1,2,0,10800,2,369,0.736526946,0,44434,2196.615531,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.07,501,1,2,0,10800,2,369,0.736526946,0,67287,4461.477811,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.08,501,1,2,0,10800,2,369,0.736526946,0,61261,2712.002802,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.09,501,1,2,0,10800,2,369,0.736526946,0,53996,4556.75732,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.11,501,1,2,0,10800,2,369,0.736526946,0,48686,2262.12526,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.12,501,1,2,0,10800,2,369,0.736526946,0,45724,2266.832343,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.13,501,1,2,0,10800,2,369,0.736526946,0,47986,1685.746152,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.14,501,1,2,0,10800,2,369,0.736526946,0,49532,1855.905261,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.15,501,1,2,0,10800,2,369,0.736526946,0,147679,2531.597317,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.16,501,1,2,0,10800,2,369,0.736526946,0,140860,2173.487653,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.17,501,1,2,0,10800,2,369,0.736526946,0,151817,3432.416416,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.18,501,1,2,0,10800,2,369,0.736526946,0,116785,2362.622813,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.19,501,1,2,0,10800,2,369,0.736526946,0,96650,2737.758893,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.1,501,1,2,0,10800,2,369,0.736526946,0,48376,2855.249246,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.21,501,1,2,0,10800,2,369,0.736526946,0,89417,3084.724907,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.22,501,1,2,0,10800,2,369,0.736526946,0,111515,2350.253622,0.742971888,0.712,0.145061728,-0.035802469,0.142107518,0.040051403,0.165222772,0.081683168
FlowOCT,german_train_calibration_1.csv,1,SP,0.23,501,1,2,0,10800,2,369,0.736526946,0,103683,3723.41099,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
FlowOCT,german_train_calibration_1.csv,1,SP,0.24,501,1,2,0,10800,2,369,0.736526946,0,121291,2293.638707,0.714859438,0.708,0.145061728,-0.046141975,0.142107518,0.020025701,0.165222772,-0.062293729
