dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
compas,1,correlation_remover,1,RF,DP,0.6804925469863902,0.3084512578616352,0.6928062216461439,0.2582056351952546,0.0,0.2839491367340088
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.1111111111111111,0.2831246852874756
compas,1,correlation_remover,1,RF,DP,0.6526247569669476,0.24544025157232702,0.717649600345647,0.25679724361227385,0.2222222222222222,0.2960352897644043
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.3333333333333333,0.27593994140625
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.4444444444444444,0.28016138076782227
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.5555555555555556,0.2974364757537842
compas,1,correlation_remover,1,RF,DP,0.6526247569669476,0.24544025157232702,0.717649600345647,0.25679724361227385,0.6666666666666666,0.2988131046295166
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.7777777777777777,0.29870128631591797
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,0.8888888888888888,0.2632279396057129
compas,1,correlation_remover,1,RF,DP,0.6545690213869086,0.24544025157232702,0.717649600345647,0.2580646707352143,1.0,0.2741272449493408
compas,1,correlation_remover,1,RF,TPR,0.6804925469863902,0.3318922749822821,0.6928062216461439,0.25339338309775755,0.0,0.24526143074035645
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.1111111111111111,0.26246047019958496
compas,1,correlation_remover,1,RF,TPR,0.6526247569669476,0.2981425702811245,0.717649600345647,0.22862250109441118,0.2222222222222222,0.26766419410705566
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.3333333333333333,0.2719736099243164
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.4444444444444444,0.27929067611694336
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.5555555555555556,0.26871275901794434
compas,1,correlation_remover,1,RF,TPR,0.6526247569669476,0.2981425702811245,0.717649600345647,0.22862250109441118,0.6666666666666666,0.2989370822906494
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.7777777777777777,0.3057215213775635
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,0.8888888888888888,0.33141541481018066
compas,1,correlation_remover,1,RF,TPR,0.6545690213869086,0.2981425702811245,0.717649600345647,0.23024587771778782,1.0,0.2943425178527832
compas,1,correlation_remover,1,RF,FPR,0.6804925469863902,0.2032258064516129,0.6928062216461439,0.16268418956591002,0.0,0.24207568168640137
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.15611205432937184,0.717649600345647,0.21038857597997385,0.1111111111111111,0.2833132743835449
compas,1,correlation_remover,1,RF,FPR,0.6526247569669476,0.15611205432937184,0.717649600345647,0.21038857597997385,0.2222222222222222,0.27425312995910645
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.15611205432937184,0.717649600345647,0.21038857597997385,0.3333333333333333,0.23844194412231445
compas,1,correlation_remover,1,RF,FPR,0.6545690213869086,0.15611205432937184,0.717649600345647,0.21038857597997385,0.4444444444444444,0.2970597743988037
