approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,adult_train_calibration_1.csv,1,None,1,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,14,10800.91888,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.01,22611,1,2,0,10800,9,17007,0.75215603,24.78979244,1,10800.72013,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.02,22611,1,2,0,10800,9,17007,0.75215603,25.22490739,1,10801.04593,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.03,22611,1,2,0,10800,9,17007,0.75215603,25.65414241,1,10800.701,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.04,22611,1,2,0,10800,9,17007,0.75215603,26.08925736,1,10801.04747,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.05,22611,1,2,0,10800,9,17007,0.75215603,26.51849239,1,10800.68622,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.06,22611,1,2,0,10800,9,17007,0.75215603,26.94772741,1,10800.73964,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.07,22611,1,2,0,10800,9,17007,0.75215603,27.38284236,1,10937.65379,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.08,22611,1,2,0,10800,9,17007,0.75215603,27.81207738,1,10802.86685,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.09,22611,1,2,0,10800,9,17007,0.75215603,28.24719233,1,10803.55467,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
