approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_train_calibration_1.csv,1,None,1,3086,1,2,0,10800,2,2062,0.668178872,0,2710,165.8709416,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.01,3086,1,2,0,10800,2,1846,0.598185353,0,5516,4350.806612,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,-0.016228853
FlowOCT,compas_train_calibration_1.csv,1,SP,0.02,3086,1,2,0,10800,2,1846,0.598185353,0,5458,3562.809183,0.589494163,0.578367876,0.098347426,0.004466087,0.095327996,0.012085967,0.097800391,-0.016228853
FlowOCT,compas_train_calibration_1.csv,1,SP,0.03,3086,1,2,0,10800,2,1852,0.600129618,0,5290,3219.370035,0.59922179,0.595854922,0.098347426,0.026357956,0.095327996,0.024014609,0.097800391,0.032142384
FlowOCT,compas_train_calibration_1.csv,1,SP,0.04,3086,1,2,0,10800,2,1897,0.614711601,0,4527,3617.428498,0.609597925,0.615284974,0.098347426,0.037325397,0.095327996,0.047984267,0.097800391,0.057707772
FlowOCT,compas_train_calibration_1.csv,1,SP,0.05,3086,1,2,0,10800,2,1918,0.621516526,0,5201,3596.358314,0.61997406,0.618523316,0.098347426,0.040262111,0.095327996,0.055547127,0.097800391,0.060709868
FlowOCT,compas_train_calibration_1.csv,1,SP,0.06,3086,1,2,0,10800,2,1935,0.627025275,0,4363,3792.858827,0.61997406,0.624352332,0.098347426,0.05654285,0.095327996,0.070965023,0.097800391,0.07119761
FlowOCT,compas_train_calibration_1.csv,1,SP,0.07,3086,1,2,0,10800,2,1969,0.638042774,0,4829,3663.840721,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639
FlowOCT,compas_train_calibration_1.csv,1,SP,0.08,3086,1,2,0,10800,2,1969,0.638042774,0,3868,1959.194419,0.630998703,0.630181347,0.098347426,0.06438001,0.095327996,0.078848153,0.097800391,0.086603639
FlowOCT,compas_train_calibration_1.csv,1,SP,0.09,3086,1,2,0,10800,2,1983,0.642579391,0,4004,2157.471787,0.64461738,0.644430052,0.098347426,0.088905149,0.095327996,0.089922742,0.097800391,0.095955101
FlowOCT,compas_train_calibration_1.csv,1,SP,0.11,3086,1,2,0,10800,2,2015,0.652948801,0,4217,2179.095682,0.647211414,0.649611399,0.098347426,0.104281169,0.095327996,0.112386571,0.097800391,0.105750626
FlowOCT,compas_train_calibration_1.csv,1,SP,0.12,3086,1,2,0,10800,2,2020,0.654569021,0,3126,1898.406268,0.65304799,0.652202073,0.098347426,0.116084599,0.095327996,0.124067987,0.097800391,0.130539836
FlowOCT,compas_train_calibration_1.csv,1,SP,0.13,3086,1,2,0,10800,2,2037,0.660077771,0,3743,2820.007572,0.658884565,0.656088083,0.098347426,0.126948244,0.095327996,0.137154095,0.097800391,0.127244808
FlowOCT,compas_train_calibration_1.csv,1,SP,0.14,3086,1,2,0,10800,2,2037,0.660077771,0,3688,1854.243358,0.658884565,0.656088083,0.098347426,0.126948244,0.095327996,0.137154095,0.097800391,0.127244808
FlowOCT,compas_train_calibration_1.csv,1,SP,0.15,3086,1,2,0,10800,2,2049,0.663966299,0,2922,1799.532811,0.671206226,0.670336788,0.098347426,0.143610975,0.095327996,0.166602051,0.097800391,0.155295461
FlowOCT,compas_train_calibration_1.csv,1,SP,0.16,3086,1,2,0,10800,2,2054,0.66558652,0,3638,2267.444779,0.669909209,0.669689119,0.098347426,0.154368952,0.095327996,0.152903498,0.097800391,0.155140598
FlowOCT,compas_train_calibration_1.csv,1,SP,0.17,3086,1,2,0,10800,2,2062,0.668178872,0,3443,2692.935066,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.18,3086,1,2,0,10800,2,2062,0.668178872,0,3225,2094.79971,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.19,3086,1,2,0,10800,2,2062,0.668178872,0,3152,2160.769519,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.1,3086,1,2,0,10800,2,2009,0.651004537,0,2981,2250.911116,0.645265888,0.643134715,0.098347426,0.098425508,0.095327996,0.102312122,0.097800391,0.087965684
FlowOCT,compas_train_calibration_1.csv,1,SP,0.21,3086,1,2,0,10800,2,2062,0.668178872,0,3562,2115.871333,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.22,3086,1,2,0,10800,2,2062,0.668178872,0,2651,1112.894594,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.23,3086,1,2,0,10800,2,2062,0.668178872,0,5163,3368.90756,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.24,3086,1,2,0,10800,2,2062,0.668178872,0,3443,1982.583918,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
FlowOCT,compas_train_calibration_1.csv,1,SP,0.25,3086,1,2,0,10800,2,2062,0.668178872,0,2675,1987.846059,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293
