dataset,split,method,seed,classifier,metric,acc,disp,hyp
adult,1,correlation_remover,1,RF,DP,0.8159395305662379,0.19411243607756795,0.0
adult,1,correlation_remover,1,RF,DP,0.8173982230473412,0.19434128500437714,0.1111111111111111
adult,1,correlation_remover,1,RF,DP,0.8179286566768333,0.1935562015892643,0.2222222222222222
adult,1,correlation_remover,1,RF,DP,0.8179286566768333,0.1939487432968207,0.3333333333333333
adult,1,correlation_remover,1,RF,DP,0.8177960482694603,0.19353991255274877,0.4444444444444444
adult,1,correlation_remover,1,RF,DP,0.8170003978252222,0.19314737084519235,0.5555555555555556
adult,1,correlation_remover,1,RF,DP,0.8175308314547143,0.19353991255274877,0.6666666666666666
adult,1,correlation_remover,1,RF,DP,0.8173982230473412,0.1939487432968207,0.7777777777777777
adult,1,correlation_remover,1,RF,DP,0.8177960482694603,0.19414501415059893,0.8888888888888888
adult,1,correlation_remover,1,RF,DP,0.8176634398620872,0.19316365988170786,1.0
adult,1,correlation_remover,1,RF,TPR,0.8159395305662379,0.0980243947431173,0.0
adult,1,correlation_remover,1,RF,TPR,0.8173982230473412,0.09567805417954567,0.1111111111111111
adult,1,correlation_remover,1,RF,TPR,0.8179286566768333,0.09990056735099728,0.2222222222222222
adult,1,correlation_remover,1,RF,TPR,0.8179286566768333,0.09630344504883903,0.3333333333333333
adult,1,correlation_remover,1,RF,TPR,0.8177960482694603,0.09630344504883903,0.4444444444444444
adult,1,correlation_remover,1,RF,TPR,0.8170003978252222,0.08957936840021419,0.5555555555555556
adult,1,correlation_remover,1,RF,TPR,0.8175308314547143,0.09567805417954567,0.6666666666666666
adult,1,correlation_remover,1,RF,TPR,0.8173982230473412,0.09505266331025242,0.7777777777777777
adult,1,correlation_remover,1,RF,TPR,0.8177960482694603,0.09630344504883903,0.8888888888888888
adult,1,correlation_remover,1,RF,TPR,0.8176634398620872,0.09442727244095905,1.0
adult,1,correlation_remover,1,RF,FPR,0.8159395305662379,0.10161111908601923,0.0
adult,1,correlation_remover,1,RF,FPR,0.8173982230473412,0.10156467697400084,0.1111111111111111
adult,1,correlation_remover,1,RF,FPR,0.8179286566768333,0.099673216411798,0.2222222222222222
adult,1,correlation_remover,1,RF,FPR,0.8179286566768333,0.10070655340420681,0.3333333333333333
adult,1,correlation_remover,1,RF,FPR,0.8177960482694603,0.10024529879166069,0.4444444444444444
adult,1,correlation_remover,1,RF,FPR,0.8170003978252222,0.10156467697400084,0.5555555555555556
