dataset,split,method,seed,classifier,metric,acc,disp,hyp,time
german_binary,1,correlation_remover,1,RF,DP,0.756,0.1451629808196205,0.0,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.1111111111111111,
german_binary,1,correlation_remover,1,RF,DP,0.776,0.33015407190022,0.2222222222222222,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.3333333333333333,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.4444444444444444,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.5555555555555556,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.6666666666666666,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.7777777777777777,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,0.8888888888888888,
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,
german_binary,1,correlation_remover,1,RF,TPR,0.756,0.164102564102564,0.0,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.1111111111111111,
german_binary,1,correlation_remover,1,RF,TPR,0.776,0.2543589743589743,0.2222222222222222,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.3333333333333333,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.4444444444444444,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.5555555555555556,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.6666666666666666,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.7777777777777777,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,0.8888888888888888,
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.2543589743589743,1.0,
german_binary,1,correlation_remover,1,RF,FPR,0.756,0.0152740341419587,0.0,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.1111111111111111,
german_binary,1,correlation_remover,1,RF,FPR,0.776,0.2893081761006289,0.2222222222222222,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.3333333333333333,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.4444444444444444,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.5555555555555556,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.6666666666666666,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.7777777777777777,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,0.8888888888888888,
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,
german_binary,1,correlation_remover,1,RF,EO,0.756,0.164102564102564,0.0,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.1111111111111111,
german_binary,1,correlation_remover,1,RF,EO,0.776,0.2893081761006289,0.2222222222222222,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.3333333333333333,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.4444444444444444,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.5555555555555556,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.6666666666666666,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.7777777777777777,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,0.8888888888888888,
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,
german_binary,1,correlation_remover,1,LR,DP,0.764,0.0764070852111937,0.0,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0551304894665128,0.1111111111111111,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0551304894665128,0.2222222222222222,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0551304894665128,0.3333333333333333,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0125772979771512,0.4444444444444444,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0125772979771512,0.5555555555555556,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0125772979771512,0.6666666666666666,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0125772979771512,0.7777777777777777,
german_binary,1,correlation_remover,1,LR,DP,0.764,0.007651189602767,0.8888888888888888,
german_binary,1,correlation_remover,1,LR,DP,0.76,0.0125772979771512,1.0,
german_binary,1,correlation_remover,1,LR,TPR,0.764,0.1323076923076922,0.0,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.1323076923076922,0.1111111111111111,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.1323076923076922,0.2222222222222222,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.1323076923076922,0.3333333333333333,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.4444444444444444,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.5555555555555556,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.6666666666666666,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7777777777777777,
german_binary,1,correlation_remover,1,LR,TPR,0.764,0.0938461538461538,0.8888888888888888,
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,1.0,
german_binary,1,correlation_remover,1,LR,FPR,0.764,0.1482479784366577,0.0,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.1958670260557052,0.1111111111111111,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.1958670260557052,0.2222222222222222,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.1958670260557052,0.3333333333333333,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.2434860736747529,0.4444444444444444,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.2434860736747529,0.5555555555555556,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.2434860736747529,0.6666666666666666,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.2434860736747529,0.7777777777777777,
german_binary,1,correlation_remover,1,LR,FPR,0.764,0.2623539982030548,0.8888888888888888,
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.2434860736747529,1.0,
german_binary,1,correlation_remover,1,LR,EO,0.764,0.1482479784366577,0.0,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.1111111111111111,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.2222222222222222,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.3333333333333333,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.4444444444444444,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.5555555555555556,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.6666666666666666,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.7777777777777777,
german_binary,1,correlation_remover,1,LR,EO,0.764,0.2623539982030548,0.8888888888888888,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,1.0,
german_binary,1,correlation_remover,1,DT,DP,0.696,0.0513573000733675,0.0,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.1111111111111111,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.2222222222222222,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.3333333333333333,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.4444444444444444,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.5555555555555556,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.6666666666666666,
