approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19465,0.722992583,0,7120,152.2156038,0.743357097,0.729057592,1,0.4125,0.041749012,0.407234962,0.13253012,0.8,0.182795699
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19958,0.578845534,4.915322177,38,603.7888279,0.586519767,0.577225131,1,0.4125,0.018095238,0.407234962,0.013358779,0.8,0.007561437
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19966,0.561431796,5.248923169,13,603.8378129,0.559948153,0.555628272,1,0.4125,0.004761905,0.407234962,0.005725191,0.8,0.002604167
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19810,0.623024831,4.881289434,30,603.811244,0.62734932,0.632853403,1,0.4125,0.05988024,0.407234962,0.040076336,0.8,0.046511628
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19795,0.616575298,5.556958828,1,603.8028259,0.626701231,0.606675393,1,0.4125,0.108571429,0.407234962,0.084337349,0.8,0.129032258
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19596,0.680748146,4.980608287,46,604.2678442,0.714841218,0.687172775,1,0.4125,0.25,0.407234962,0.141732283,0.8,0.162790698
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19442,0.730409545,0,2882,104.0316668,0.725858717,0.72447644,2,0.688888889,0.077777778,0.403949618,0.5,0.526595745,0.175834363
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19971,0.567558852,4.641730509,98,603.760437,0.565780946,0.581806283,2,0.688888889,0.011764706,0.403949618,0.012658228,0.526595745,0.25
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19950,0.566913899,4.847117794,12,603.8562369,0.567077122,0.581806283,2,0.688888889,0.011764706,0.403949618,0.012658228,0.526595745,0.25
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19684,0.683005482,3.952448689,1,603.760185,0.66882696,0.687827225,2,0.688888889,0.155642023,0.403949618,0.5,0.526595745,0.239361702
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19994,0.552402451,6.211863559,4,603.8694162,0.545690214,0.567408377,2,0.688888889,0,0.403949618,0,0.526595745,0
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19580,0.686230248,4.80081716,161,604.0335979,0.659753727,0.683246073,2,0.688888889,0.167315175,0.403949618,0.5,0.526595745,0.228723404
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19474,0.720090293,0.005135052,17845,255.6503601,0.731043422,0.740183246,3,0.8,0.246963563,0.8125,0.901373283,0.438650612,0.166666667
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19994,0.56110932,5.051515455,314,603.9597921,0.593000648,0.567408377,3,0.8,0.011560694,0.8125,0.006849315,0.438650612,0.005174644
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19967,0.56110932,5.223618971,1,603.8135579,0.593648736,0.558246073,3,0.8,0.023121387,0.8125,0.5,0.438650612,0.022222222
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19958,0.565946469,5.551658483,24,604.0289021,0.595593001,0.568062827,3,0.8,0.060728745,0.8125,0.04109589,0.438650612,0.051724138
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19824,0.607545953,5.669895077,1,604.0633759,0.644199611,0.612565445,3,0.8,0.12145749,0.8125,0.5,0.438650612,0.166666667
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19828,0.60593357,6.072221101,1,604.7316999,0.644199611,0.611910995,3,0.8,0.12145749,0.8125,0.5,0.438650612,0.166666667
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19453,0.726862302,0,15292,400.8985569,0.71095269,0.72578534,4,0.56043956,0.164835165,0.765306122,0.112244898,0.350114943,0.10125
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-19924,0.585295066,4.66271833,15,604.0400989,0.547634478,0.564136126,4,0.56043956,0.014545455,0.765306122,0.020408163,0.350114943,0.00625
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19846,0.632054176,4.590345662,190,603.7931888,0.605962411,0.611910995,4,0.56043956,0.153846154,0.765306122,0.040816327,0.350114943,0.022988506
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19785,0.619800064,4.680313369,7,603.7234492,0.606610499,0.620418848,4,0.56043956,0.074975657,0.765306122,0.079646018,0.350114943,0.06625
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-19579,0.686230248,4.448643955,10,603.7013776,0.672067401,0.678010471,4,0.56043956,0.12673924,0.765306122,0.091836735,0.350114943,0.07
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19553,0.69461464,4.756303381,224,603.7873149,0.672715489,0.684554974,4,0.56043956,0.142671761,0.765306122,0.081632653,0.350114943,0.0625
FlowOCT,compas_enc.csv,None,0,3101,2,0,600,2,-19491,0.714608191,0,11124,154.1375759,0.750486066,0.737565445,5,0.648809524,0.154761905,0.583030303,0.147727273,0.65,0.104
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,600,9,-20000,0.550467591,4.995,2,603.9217739,0.550226831,0.566099476,5,0.648809524,0,0.583030303,0,0.65,0
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,600,9,-19999,0.550790068,5.295264763,5,603.7881448,0.550226831,0.566099476,5,0.648809524,0,0.583030303,0,0.65,0
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,600,9,-19890,0.586262496,5.158371041,3,603.856328,0.58522359,0.604712042,5,0.648809524,0.035714286,0.583030303,0.008484848,0.65,0.022988506
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,600,9,-20000,0.550467591,6.445,1,603.8130031,0.550226831,0.566099476,5,0.648809524,0,0.583030303,0,0.65,0
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,600,9,-19622,0.672363754,5.086127816,279,603.728565,0.699935191,0.701570681,5,0.648809524,0.067449355,0.583030303,0.090909091,0.65,0.08
