approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,7200,2,-7562,0.561431796,0,37,587.0336318,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,7200,2,-7562,0.561431796,0,42,535.5004463,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,7200,2,-7562,0.561431796,0,52,687.3093638,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,7200,2,-7371,0.623024831,0,37,348.9011209,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083
FlowOCT,compas_enc.csv,SP,0.3,3101,1,0,7200,2,-7371,0.623024831,0,45,143.7043574,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,7200,9,-19962,0.562721703,0.030057109,1153,7205.543432,0.565780946,0.555628272,1,0.4125,0.008695652,0.407234962,0.5,0.8,0.013020833
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,7200,9,-19911,0.57916801,4.901813068,1118,7204.908194,0.586519767,0.577879581,1,0.4125,0.037267081,0.407234962,0.052697616,0.8,0.053385417
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,7200,9,-19803,0.613995485,4.797252941,1065,7205.452173,0.622164614,0.618455497,1,0.4125,0.1,0.407234962,0.110414053,0.8,0.125
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,7200,9,-19592,0.682038052,4.563086974,1032,7205.911654,0.695398574,0.686518325,1,0.4125,0.183229814,0.407234962,0.4,0.8,0.5
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,7200,9,-19468,0.722025153,4.304499692,1720,7205.968362,0.744005185,0.729057592,1,0.4125,0.262885409,0.407234962,0.30834001,0.8,0.434310019
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,7200,2,-7574,0.557562077,0,47,161.469276,0.552171095,0.571335079,2,0.688888889,0.008338679,0.403949618,0.012658228,0.526595745,0.00618047
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,7200,2,-7574,0.557562077,0,47,533.9339495,0.552171095,0.571335079,2,0.688888889,0.008338679,0.403949618,0.012658228,0.526595745,0.00618047
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,7200,2,-7574,0.557562077,0,57,613.7005677,0.552171095,0.571335079,2,0.688888889,0.008338679,0.403949618,0.012658228,0.526595745,0.00618047
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,7200,2,-7545,0.566913899,0,51,448.7218297,0.567077122,0.581806283,2,0.688888889,0.2,0.403949618,0.037174721,0.526595745,0.024721879
FlowOCT,compas_enc.csv,SP,0.3,3101,1,0,7200,2,-7397,0.614640439,0,40,441.5780911,0.618276086,0.619109948,2,0.688888889,0.249518922,0.403949618,0.5,0.526595745,0.123216092
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,7200,9,-19973,0.55917446,0.030040555,2401,7205.114597,0.553467272,0.571335079,2,0.688888889,0.009621552,0.403949618,0.012658228,0.526595745,0.00618047
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,7200,9,-19922,0.575620767,4.693303885,1090,7205.01383,0.579390797,0.592277487,2,0.688888889,0.041051956,0.403949618,0.053283767,0.526595745,0.044499382
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,7200,9,-19753,0.630119316,4.191768339,1066,7205.50826,0.638366818,0.633507853,2,0.688888889,0.087080335,0.403949618,0.5,0.526595745,0.145871855
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,7200,9,-19586,0.683972912,3.7884203,1574,7209.359177,0.699287103,0.678664921,2,0.688888889,0.182967033,0.403949618,0.5,0.526595745,0.215815873
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,7200,9,-19449,0.728152209,3.979639056,1879,7205.365,0.732987686,0.727748691,2,0.688888889,0.28040293,0.403949618,0.38488228,0.526595745,0.277174342
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,7200,2,-7598,0.549822638,0,39,1233.984593,0.585871679,0.553010471,3,0.8,0.006246096,0.8125,0.004993758,0.438650612,0.012936611
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,7200,2,-7598,0.549822638,0,49,1082.572825,0.585871679,0.553010471,3,0.8,0.006246096,0.8125,0.004993758,0.438650612,0.012936611
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,7200,2,-7598,0.549822638,0,40,1727.24134,0.585871679,0.553010471,3,0.8,0.006246096,0.8125,0.004993758,0.438650612,0.012936611
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,7200,2,-7543,0.567558852,0,42,716.3802419,0.556059624,0.564790576,3,0.8,0.126236891,0.8125,0.18164794,0.438650612,0.103628447
